id,level,ko,de,en,field_notes,상태,jin_memo
satz_b1_0062,B1,팀원들과 일정을 조율한 뒤에 회의 시간을 확정했어요.,"Nachdem ich den Zeitplan mit dem Team abgestimmt hatte, habe ich den Besprechungstermin festgelegt.","After coordinating the schedule with the team, I confirmed the meeting time.",vocabId=vocab_b1_0260; vocabKo=조율하다; source=canonical vocab example verbatim; distractorTiles=자료를|공유했어요; context=team schedule coordination; target uses complete B1 sentence,draft,
satz_b1_0063,B1,회의 참석 여부를 오늘 안에 알려 주세요.,"Bitte teilen Sie uns noch heute mit, ob Sie an der Besprechung teilnehmen können.",Please let us know by today whether you can attend the meeting.,vocabId=vocab_b1_0261; vocabKo=참석 여부; source=canonical vocab example verbatim; distractorTiles=연락을|기다려; context=same-day attendance confirmation; target uses complete B1 sentence,draft,
satz_b1_0064,B1,마감일이 가까운 업무의 우선순위를 먼저 정했어요.,Wir haben zuerst die Prioritäten für die Aufgaben mit naher Abgabefrist festgelegt.,We first set the priorities for tasks with approaching deadlines.,vocabId=vocab_b1_0262; vocabKo=우선순위; source=canonical vocab example verbatim; distractorTiles=회의실을|예약했어요; context=prioritizing deadline-sensitive tasks; target uses complete B1 sentence,draft,
satz_b1_0065,B1,오후 회의를 위해 3층 회의실을 예약했어요.,Für die Besprechung am Nachmittag habe ich einen Raum im dritten Stock reserviert.,I reserved a meeting room on the third floor for the afternoon meeting.,vocabId=vocab_b1_0263; vocabKo=회의실; source=canonical vocab example verbatim; distractorTiles=참석자를|변경했어요; context=reserve an afternoon meeting room; target uses complete B1 sentence,draft,
satz_b1_0066,B1,담당자가 부재중이라 제가 그분을 대체해 업무를 맡기로 했어요.,"Da die zuständige Person nicht da war, habe ich zugesagt, sie zu vertreten.","Since the person in charge was unavailable, I agreed to take over their duties.",vocabId=vocab_b1_0264; vocabKo=대체하다; source=canonical vocab example verbatim; distractorTiles=연락드릴|예정이에요; context=cover for unavailable person; target uses complete B1 sentence,draft,
satz_b1_0067,B1,자료가 늦게 도착해서 회의 시작이 20분 지연됐어요.,"Weil die Unterlagen spät ankamen, hat sich der Beginn der Besprechung um zwanzig Minuten verzögert.","Because the materials arrived late, the start of the meeting was delayed by 20 minutes.",vocabId=vocab_b1_0265; vocabKo=지연되다; source=canonical vocab example verbatim; distractorTiles=일정을|확정할게요; context=meeting start delayed by late materials; target uses complete B1 sentence,draft,
satz_b1_0068,B1,회의 전에 업무 분담을 정해서 각자 맡을 일을 확인했어요.,"Vor der Besprechung haben wir die Aufgabenverteilung festgelegt und geprüft, wer was übernimmt.",Before the meeting we agreed on the division of tasks and confirmed what each person would handle.,vocabId=vocab_b1_0266; vocabKo=업무 분담; source=canonical vocab example verbatim; distractorTiles=회의실을|예약했어요; context=division of tasks before meeting; target uses complete B1 sentence,draft,
satz_b1_0069,B1,이 보고서의 마감일은 다음 주 금요일이에요.,Die Abgabefrist für diesen Bericht ist nächsten Freitag.,The deadline for this report is next Friday.,vocabId=vocab_b1_0267; vocabKo=마감일; source=canonical vocab example verbatim; distractorTiles=참석자는|오늘; context=report deadline date; target uses complete B1 sentence,draft,
satz_b1_0070,B1,결정이 늦어져서 회의를 다음 주로 미뤘어요.,"Da sich die Entscheidung verzögerte, haben wir die Besprechung auf nächste Woche verschoben.","Because the decision was delayed, we postponed the meeting until next week.",vocabId=vocab_b1_0268; vocabKo=미루다; source=canonical vocab example verbatim; distractorTiles=시간을|확정했어요; context=meeting moved after delayed decision; target uses complete B1 sentence,draft,
satz_b1_0071,B1,참석 인원을 확인한 뒤에 최종 일정을 확정할게요.,"Nachdem ich die Zahl der Teilnehmenden geprüft habe, werde ich den endgültigen Termin festlegen.","After checking the number of participants, I will finalize the schedule.",vocabId=vocab_b1_0269; vocabKo=확정하다; source=canonical vocab example verbatim; distractorTiles=마감일을|미뤘어요; context=final schedule after attendance check; target uses complete B1 sentence,draft,
