id,level,ko,de,en,field_notes,상태,jin_memo
vocab_b2_0265,B2,일정이 겹치다,sich terminlich überschneiden,to overlap,rights: original; pack: b2_collaborative_feedback_1; canonical sentence derives cloze_b2_0118 and satz_b2_0102,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b2_0266,B2,우선순위를 조정하다,Prioritäten neu ordnen,to reprioritize,rights: original; pack: b2_collaborative_feedback_1; canonical sentence derives cloze_b2_0119 and satz_b2_0103,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b2_0267,B2,의견을 좁히다,die Auswahl eingrenzen,to narrow down the options,rights: original; pack: b2_collaborative_feedback_1; canonical sentence derives cloze_b2_0120 and satz_b2_0104,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b2_0268,B2,초안을 돌리다,einen Entwurf im Team weitergeben,to circulate a draft,rights: original; pack: b2_collaborative_feedback_1; canonical sentence derives cloze_b2_0121 and satz_b2_0105,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b2_0269,B2,피드백을 반영하다,Feedback einarbeiten,to incorporate feedback,rights: original; pack: b2_collaborative_feedback_1; canonical sentence derives cloze_b2_0122 and satz_b2_0106,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b2_0270,B2,역할을 나누다,Aufgaben aufteilen,to split up tasks,rights: original; pack: b2_collaborative_feedback_1; canonical sentence derives cloze_b2_0123 and satz_b2_0107,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b2_0271,B2,마감이 촉박하다,unter Zeitdruck stehen,to be on a tight deadline,rights: original; pack: b2_collaborative_feedback_1; canonical sentence derives cloze_b2_0124 and satz_b2_0108,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b2_0272,B2,방향을 틀다,die Richtung ändern,to change direction,rights: original; pack: b2_collaborative_feedback_1; canonical sentence derives cloze_b2_0125 and satz_b2_0109,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b2_0273,B2,수정을 책임지다,die Korrektur verantworten,to take responsibility for a fix,rights: original; pack: b2_collaborative_feedback_1; canonical sentence derives cloze_b2_0126 and satz_b2_0110,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b2_0274,B2,합의점을 찾다,einen gemeinsamen Nenner finden,to find common ground,rights: original; pack: b2_collaborative_feedback_1; canonical sentence derives cloze_b2_0127 and satz_b2_0111,approved,Jin explicit app-integration approval (2026-08-15).
