id,level,ko,de,en,field_notes,상태,jin_memo
satz_c1_0175,C1,표본이 서른 명뿐이라 결론을 넓히기 어렵습니다.,"Die Stichprobe umfasst nur dreißig Personen, daher lässt sich der Schluss kaum ausweiten.","The sample is only thirty people, so the conclusion is hard to widen.",rights: original; vocabKo=표본,draft,
satz_c1_0176,C1,성급한 일반화는 오해를 만듭니다.,Eine vorschnelle Verallgemeinerung erzeugt Missverständnisse.,A hasty generalisation creates misunderstandings.,rights: original; vocabKo=일반화,draft,
satz_c1_0177,C1,상관관계만 보고 원인을 단정할 수 없습니다.,Aus einer Korrelation allein lässt sich die Ursache nicht bestimmen.,A correlation alone cannot fix the cause.,rights: original; vocabKo=상관관계,draft,
satz_c1_0178,C1,인과를 말하려면 시간 순서가 분명해야 합니다.,Für Kausalität muss die zeitliche Reihenfolge klar sein.,Claiming causation needs a clear order in time.,rights: original; vocabKo=인과,draft,
satz_c1_0179,C1,참가자를 모으는 방식에 편향이 있었습니다.,Bei der Auswahl der Teilnehmenden gab es eine Verzerrung.,There was bias in how participants were recruited.,rights: original; vocabKo=편향,draft,
satz_c1_0180,C1,출처를 밝히지 않은 수치는 쓰지 않습니다.,Zahlen ohne Quellenangabe verwenden wir nicht.,We don't use figures whose source isn't given.,rights: original; vocabKo=출처,draft,
satz_c1_0181,C1,재현성이 확인되기 전에는 결과가 잠정적입니다.,Vor bestätigter Reproduzierbarkeit bleibt das Ergebnis vorläufig.,Until reproducibility is confirmed the result stays provisional.,rights: original; vocabKo=재현성,draft,
satz_c1_0182,C1,그림 하나만 보면 오해석이 나오기 쉽습니다.,"Sieht man nur eine Grafik, kommt es leicht zu Fehldeutungen.",Looking at a single chart invites misreading.,rights: original; vocabKo=오해석,draft,
satz_c1_0183,C1,제목의 과장이 본문 내용과 어긋납니다.,Die Übertreibung im Titel passt nicht zum Text.,The headline's exaggeration doesn't match the body.,rights: original; vocabKo=과장,draft,
satz_c1_0184,C1,검증을 거치지 않은 주장은 권하지 않습니다.,Behauptungen ohne Überprüfung empfehlen wir nicht.,We don't recommend claims that skipped verification.,rights: original; vocabKo=검증,draft,
satz_c1_0185,C1,제조사의 반박에도 표본 문제는 남습니다.,Trotz des Einwands des Herstellers bleibt das Stichprobenproblem.,Even after the maker's rebuttal the sampling problem remains.,rights: original; vocabKo=반박,draft,
satz_c1_0186,C1,인용을 할 때는 논문 번호를 함께 적습니다.,Beim Zitieren notieren wir die Studiennummer mit.,When citing we note the study number as well.,rights: original; vocabKo=인용,draft,
satz_c2_0175,C2,검침기 오작동으로 요금이 세 배 청구됐습니다.,Wegen einer Fehlfunktion des Zählers wurde der dreifache Betrag berechnet.,A meter malfunction billed three times the amount.,rights: original; vocabKo=오작동,draft,
satz_c2_0176,C2,구제 절차가 접수 확인에 그치면 실효가 없습니다.,"Bleibt das Abhilfeverfahren bei einer Eingangsbestätigung, wirkt es nicht.","If the remedy process stops at an acknowledgement, it has no effect.",rights: original; vocabKo=구제,draft,
satz_c2_0177,C2,소명 기회를 주지 않은 결정은 다시 봐야 합니다.,Eine Entscheidung ohne Gelegenheit zur Stellungnahme muss neu geprüft werden.,A decision that allowed no statement of grounds has to be reviewed again.,rights: original; vocabKo=소명,draft,
satz_c2_0178,C2,납부 유예만으로는 원인이 사라지지 않습니다.,Ein Zahlungsaufschub allein beseitigt die Ursache nicht.,A payment deferral alone doesn't remove the cause.,rights: original; vocabKo=유예,draft,
satz_c2_0179,C2,같은 시스템이 재검토를 맡으면 형식에 불과합니다.,"Prüft dasselbe System erneut, bleibt es eine Formalie.","If the same system handles the re-review, it is only a formality.",rights: original; vocabKo=재검토,draft,
satz_c2_0180,C2,결과 통보는 3영업일 안에 서면으로 합니다.,Die Mitteilung des Ergebnisses erfolgt binnen drei Werktagen schriftlich.,Notification of the outcome is made in writing within three business days.,rights: original; vocabKo=통보,draft,
satz_c2_0181,C2,시정 기한을 정하지 않으면 재발을 막지 못합니다.,Ohne Frist zur Behebung lässt sich eine Wiederholung nicht verhindern.,"With no deadline for correction, recurrence isn't prevented.",rights: original; vocabKo=시정,draft,
satz_c2_0182,C2,입증 책임을 이용자에게만 두는 것은 지나칩니다.,"Die Nachweislast allein den Nutzenden aufzuerlegen, geht zu weit.",Putting the burden of proof only on users goes too far.,rights: original; vocabKo=입증,draft,
satz_c2_0183,C2,형식적인 이의 창구는 신뢰를 깎습니다.,Ein bloß formaler Beschwerdeweg kostet Vertrauen.,A merely formal appeals desk costs trust.,rights: original; vocabKo=형식적,draft,
satz_c2_0184,C2,자동 처리의 전제를 공개하면 검증이 가능합니다.,"Werden die Prämissen der automatischen Bearbeitung offengelegt, ist eine Prüfung möglich.",Publishing the premises of automated processing makes review possible.,rights: original; vocabKo=자동 처리,draft,
satz_c2_0185,C2,불복 사유를 서면으로 남기는 편이 안전합니다.,Die Einspruchsgründe schriftlich festzuhalten ist sicherer.,Recording the grounds of appeal in writing is safer.,rights: original; vocabKo=불복,draft,
satz_c2_0186,C2,처분 근거를 밝히지 않으면 절차가 무너집니다.,"Nennt man die Grundlage der Maßnahme nicht, bricht das Verfahren zusammen.","If the basis of the measure isn't stated, the process collapses.",rights: original; vocabKo=처분,draft,
