pattern,level,type_de,explanation_de,example_korean,example_german,note,type_en,explanation_en,example_en,note_en,id,quiz_focus_de,quiz_focus_en,quiz_enabled,quiz_distractor_ids
N은/는,A1,Thema-Partikel,Markiert das Satzthema. Nach Konsonant: 은 · Nach Vokal: 는,저는 학생이에요.,Ich bin Student.,은 nach Konsonant · 는 nach Vokal,Topic particle,Marks the topic of the sentence. After a consonant: 은 · after a vowel: 는,I am a student.,은 after a consonant · 는 after a vowel,grammar_a1_topic_particle,Ich,I,true,grammar_a1_possessive_particle|grammar_a1_degree_question|grammar_a1_approx
N이/가,A1,Subjekt-Partikel,Markiert das Subjekt. Nach Konsonant: 이 · Nach Vokal: 가,친구가 와요.,Ein Freund kommt.,이 nach Konsonant · 가 nach Vokal,Subject particle,Marks the grammatical subject. After a consonant: 이 · after a vowel: 가,A friend is coming.,이 after a consonant · 가 after a vowel,grammar_a1_subject_particle,Ein Freund,A friend,true,grammar_a1_possessive_particle|grammar_a1_degree_question|grammar_a1_approx
N을/를,A1,Objekt-Partikel,Markiert das direkte Objekt. Nach Konsonant: 을 · Nach Vokal: 를,밥을 먹어요.,Ich esse Reis.,을 nach Konsonant · 를 nach Vokal,Object particle,Marks the direct object. After a consonant: 을 · after a vowel: 를,I eat rice.,을 after a consonant · 를 after a vowel,grammar_a1_object_particle,Reis,rice,true,grammar_a1_possessive_particle|grammar_a1_degree_question|grammar_a1_approx
N에,A1,Richtungs-/Ortspartikel,Richtung (wohin?) oder Zeitpunkt (wann?),학교에 가요.,Ich gehe zur Schule.,Richtung oder Zeitpunkt,Direction/time particle,Direction (to where?) or point in time (when?),I go to school.,Direction or point in time,grammar_a1_direction_time_particle,zur Schule,to school,true,grammar_a1_possessive_particle|grammar_a1_degree_question|grammar_a1_approx
N에서,A1,Handlungsort-Partikel,Ort der Handlung (wo findet etwas statt?),집에서 먹어요.,Ich esse zu Hause.,Ort einer Handlung,Place-of-action particle,The place where an action happens (where?),I eat at home.,Place of an action,grammar_a1_action_location_particle,zu Hause,at home,true,grammar_a1_possessive_particle|grammar_a1_degree_question|grammar_a1_approx
N이에요/예요,A1,Kopula (sein),Nach Konsonant: 이에요 · Nach Vokal: 예요,학생이에요.,Ich bin Student.,이에요 nach Konsonant · 예요 nach Vokal,Copula (to be),After a consonant: 이에요 · after a vowel: 예요,I am a student.,이에요 after a consonant · 예요 after a vowel,grammar_a1_copula_polite,bin,am,true,grammar_a1_possessive_particle|grammar_a1_degree_question|grammar_a1_approx
N이/가 아니에요,A1,Verneinung (kein/nicht),Verneinung der Kopula. Nach Konsonant: 이 아니에요 · Nach Vokal: 가 아니에요,학생이 아니에요.,Ich bin kein Student.,Gegenteil von 이에요/예요,Negation (to not be),Negates the copula. After a consonant: 이 아니에요 · after a vowel: 가 아니에요,I am not a student.,Opposite of 이에요/예요,grammar_a1_copula_negation,kein Student,not a student,true,grammar_a1_possessive_particle|grammar_a1_degree_question|grammar_a1_approx
V-아/어요,A1,Höfliche Gegenwart,Höfliche Gegenwartsform. Vokal ㅏ/ㅗ → 아요 · Sonst → 어요 · 하다 → 해요,먹어요.,Ich esse.,하다-Verben werden zu 해요,Polite present,Polite present tense. Vowel ㅏ/ㅗ → 아요 · otherwise → 어요 · 하다 → 해요,I eat.,하다 verbs become 해요,grammar_a1_polite_present,esse,eat,true,grammar_a1_possessive_particle|grammar_a1_degree_question|grammar_a1_approx
V-았/었어요,A1,Höfliche Vergangenheit,Höfliche Vergangenheitsform. ㅏ/ㅗ → 았어요 · Sonst → 었어요 · 하다 → 했어요,먹었어요.,Ich habe gegessen.,하다 → 했어요,Polite past,Polite past tense. ㅏ/ㅗ → 았어요 · otherwise → 었어요 · 하다 → 했어요,I ate.,하다 → 했어요,grammar_a1_polite_past,habe gegessen,ate,true,grammar_a1_possessive_particle|grammar_a1_degree_question|grammar_a1_approx
안 + V,A1,Kurzverneinung,Verneinung: 안 direkt vor dem Verb. Schnell und umgangssprachlich,안 먹어요.,Ich esse nicht.,하다-Verben: Nomen + 안 해요 · z.B. 공부 안 해요,Short negation,Negation: place 안 right before the verb. Quick and colloquial,I don't eat.,하다 verbs: noun + 안 해요 · e.g. 공부 안 해요,grammar_a1_short_negation,nicht,don't,true,grammar_a1_possessive_particle|grammar_a1_degree_question|grammar_a1_approx
