pattern,level,type_de,explanation_de,example_korean,example_german,note,type_en,explanation_en,example_en,note_en,id,quiz_focus_de,quiz_focus_en,quiz_enabled,quiz_distractor_ids
A/V-다고 해서 A/V-는 것은 아니다,B2,Keine automatische Schlussfolgerung,"Weist zurück, dass aus einer Tatsache automatisch eine bestimmte Bewertung oder Folge entsteht. Die erste Aussage wird anerkannt, die voreilige Schlussfolgerung aber begrenzt.",연락이 뜸하다고 해서 마음까지 멀어진 것은 아니에요.,"Nur weil sich jemand seltener meldet, ist die Beziehung nicht automatisch distanzierter geworden.","Der zweite Teil sollte genau die Schlussfolgerung nennen, die nicht zwingend gilt.",Rejecting an automatic conclusion,Rejects the idea that one fact automatically leads to a particular judgment or result. The first fact is acknowledged while the rushed conclusion is limited.,Just because someone is in touch less often does not mean the relationship has grown distant.,Use the second clause to name the conclusion that does not necessarily follow.,grammar_b2_not_automatic_conclusion,Nur weil,Just because,true,grammar_b2_outcome_depends|grammar_b2_shared_merit|grammar_b2_compared_with
V-느냐에 달려 있다,B2,Ergebnis abhängig von einer Bedingung,"Zeigt, dass ein Ergebnis davon abhängt, welche Entscheidung getroffen oder wie eine Handlung ausgeführt wird.",공용 공간이 편해지느냐는 이용 규칙을 서로 지키느냐에 달려 있어요.,"Ob ein Gemeinschaftsraum angenehm wird, hängt davon ab, ob alle die Nutzungsregeln einhalten.",Vor 달려 있다 steht häufig eine eingebettete Frage mit -느냐.,Outcome depending on a choice,Shows that an outcome depends on what decision is made or how an action is carried out.,Whether a shared space works well depends on everyone following the usage rules.,The embedded question before 달려 있다 commonly ends in -느냐.,grammar_b2_outcome_depends,hängt davon ab,depends on,true,grammar_b2_turning_point|grammar_b2_in_light_of|grammar_b2_only_course
N을/를 계기로,B2,Anlass für eine Veränderung,"Markiert ein Ereignis als konkreten Anlass, nach dem eine neue Handlung, Gewohnheit oder Entwicklung beginnt.",이웃과 소음 문제를 이야기한 것을 계기로 공용 공간 규칙을 다시 정했어요.,"Das Gespräch mit den Nachbarn über den Lärm gab den Anlass, die Regeln für den Gemeinschaftsbereich neu festzulegen.",Nicht jeder zeitliche Vorläufer ist ein 계기. Das Ereignis muss eine erkennbare Veränderung anstoßen.,Turning point for a change,"Marks an event as the occasion that leads to a new action, habit, or development.",Our conversation with the neighbors about noise became the turning point for rewriting the shared-space rules.,"The event should trigger a recognizable change, not merely happen earlier.",grammar_b2_turning_point,gab den Anlass,turning point,true,grammar_b2_shared_merit|grammar_b2_compared_with|grammar_b2_instead_tradeoff
A/V-다는 점에서,B2,Bewertung nach einem gemeinsamen Merkmal,"Hebt einen bestimmten Aspekt hervor, unter dem etwas bewertet oder mit etwas anderem verbunden wird.",답장을 재촉하지 않는다는 점에서 그 메시지는 상대의 시간을 배려하고 있어요.,"Die Nachricht ist insofern rücksichtsvoll, als sie nicht auf eine schnelle Antwort drängt.","Nach der Form folgt meist eine Bewertung, deren Grundlage der hervorgehobene Punkt ist.",Evaluation from a stated aspect,Highlights a particular aspect that forms the basis for an evaluation or comparison.,The message is considerate in that it does not pressure the other person to reply quickly.,The following evaluation should be grounded in the point introduced before the form.,grammar_b2_shared_merit,insofern,in that,true,grammar_b2_in_light_of|grammar_b2_only_course|grammar_b2_not_automatic_conclusion
N에 비추어 볼 때,B2,Urteil im Licht eines Maßstabs,"Leitet eine Einschätzung ein, die sich auf bekannte Umstände, Daten oder einen Maßstab stützt.",지금까지의 이용 기록에 비추어 볼 때 저녁 예약을 두 구간으로 나누는 게 좋겠어요.,Im Licht der bisherigen Nutzungsdaten sollten wir die Abendreservierung in zwei Zeitfenster teilen.,Der vorangestellte Maßstab muss für die folgende Einschätzung wirklich relevant sein.,Judgment in light of evidence,"Introduces an assessment based on known circumstances, evidence, or a stated standard.","In light of the usage records so far, we should split the evening reservation into two slots.",The evidence before the form should be directly relevant to the assessment.,grammar_b2_in_light_of,Im Licht,In light of,true,grammar_b2_compared_with|grammar_b2_instead_tradeoff|grammar_b2_outcome_depends
A/V-(으)ㄴ/는 데 비해,B2,Kontrast zu einer Vergleichsbasis,"Vergleicht zwei Situationen und hebt hervor, dass sie sich in einem bestimmten Punkt deutlich unterscheiden.",첫 안내문은 글자가 작은 데 비해 새 안내문은 멀리서도 잘 보여요.,"Während der erste Hinweis klein gedruckt war, ist der neue auch aus der Entfernung gut lesbar.",Beide Seiten sollten nach einem nachvollziehbaren gemeinsamen Kriterium vergleichbar sein.,Contrast against a baseline,Compares two situations and highlights a clear difference on a shared dimension.,"Whereas the first notice had small text, the new one is easy to read even from a distance.",Both clauses should be comparable along a clear shared dimension.,grammar_b2_compared_with,Während,Whereas,true,grammar_b2_only_course|grammar_b2_not_automatic_conclusion|grammar_b2_turning_point
V-(으)ㄹ 따름이다,B2,Nur eine begrenzte Haltung oder Handlung,"Betont in eher ruhigem oder schriftlichem Ton, dass nur die genannte Haltung, Handlung oder Möglichkeit bleibt.",이미 생긴 불편을 탓하기보다 다음에는 어떻게 막을지 함께 정할 따름이에요.,"Statt die entstandenen Umstände zu beklagen, bleibt uns nur, gemeinsam festzulegen, wie wir sie künftig verhindern.",Die Form klingt zurückhaltender und formeller als -을 뿐이다.,Nothing more than the stated course,"Emphasizes in a restrained tone that only the stated attitude, action, or option remains.","Rather than blame each other for the inconvenience, all we can do is decide together how to prevent it next time.",The form is more restrained and written in tone than -을 뿐이다.,grammar_b2_only_course,bleibt uns nur,all we can do,true,grammar_b2_instead_tradeoff|grammar_b2_outcome_depends|grammar_b2_shared_merit
V-는 대신(에),B2,Ersatz mit Ausgleich,"Zeigt, dass eine Handlung oder Eigenschaft durch eine andere ersetzt oder durch einen Vor- oder Nachteil ausgeglichen wird.",회의를 길게 하는 대신 핵심 쟁점을 미리 문서로 공유해요.,"Statt die Besprechung in die Länge zu ziehen, teilen wir die Kernfragen vorher schriftlich.",Die beiden Teile sollten in einer echten Ersatz- oder Ausgleichsbeziehung stehen.,Substitution or tradeoff,"Shows that one action or quality replaces another, or that one side is balanced by a benefit or drawback.","Instead of holding a long meeting, we share the key issues in writing beforehand.",The two clauses should form a genuine substitution or tradeoff.,grammar_b2_instead_tradeoff,Statt,Instead of,true,grammar_b2_not_automatic_conclusion|grammar_b2_turning_point|grammar_b2_in_light_of
V-(으)ㄹ 바에야,C1,Bevorzugung der weniger schlechten Alternative,Vergleicht zwei unerwünschte oder anspruchsvolle Möglichkeiten und wählt die zweite als sinnvoller aus.,불확실한 수치를 확정된 것처럼 발표할 바에야 잠정치라고 분명히 밝히는 편이 나아요.,"Bevor wir unsichere Zahlen als endgültig ausgeben, sollten wir sie lieber klar als vorläufig kennzeichnen.","Die erste Möglichkeit wird meist deutlich abgelehnt, die zweite als bessere Alternative präsentiert.",Choosing the less undesirable option,Compares two difficult or undesirable options and presents the second as more sensible.,"Rather than present uncertain figures as final, we would be better off labeling them clearly as preliminary.",The first option is rejected and the second is offered as the preferable course.,grammar_c1_rather_than,Bevor,Rather than,true,grammar_c1_even_at_cost|grammar_c1_unless_condition|grammar_c1_excessive_result
V-는 한이 있어도,C1,Entschlossenheit trotz hoher Kosten,"Drückt den festen Willen aus, ein Ziel selbst dann zu verfolgen, wenn dafür ein großer Nachteil in Kauf genommen werden muss.",발표가 조금 늦어지는 한이 있어도 잘못된 수치는 먼저 바로잡아야 합니다.,"Selbst wenn sich die Mitteilung dadurch etwas verzögert, müssen falsche Zahlen zuerst korrigiert werden.",Die genannte Belastung muss ernst gemeint sein und darf nicht wie eine beiläufige Bedingung wirken.,Resolve despite a serious cost,Expresses determination to pursue a goal even if doing so requires accepting a significant disadvantage.,"Even if it delays the announcement a little, incorrect figures must be corrected first.",The cost should be meaningful rather than a casual condition.,grammar_c1_even_at_cost,Selbst wenn,Even if,true,grammar_c1_no_exaggeration|grammar_c1_two_sides|grammar_c1_room_for
A/V-다고 해도 과언이 아니다,C1,"Nachdrückliche, begründbare Bewertung","Stellt eine starke Bewertung als sachlich vertretbar dar. Die Aussage klingt betont, sollte aber durch Kontext oder Belege gestützt sein.",신뢰를 지키는 데에는 빠른 발표만큼 책임 있는 정정이 중요하다고 해도 과언이 아니에요.,"Es ist keine Übertreibung zu sagen, dass verantwortungsvolle Korrekturen für Vertrauen ebenso wichtig sind wie schnelle Mitteilungen.",Nicht als bloße Übertreibung verwenden. Der Kontext sollte die starke Aussage nachvollziehbar machen.,Strong but supportable assessment,Presents a strong evaluation as justified rather than exaggerated. The surrounding context should support the claim.,It is no exaggeration to say that responsible corrections matter as much as speed when maintaining trust.,"Use it for an emphatic claim that can be supported, not empty hype.",grammar_c1_no_exaggeration,keine Übertreibung,no exaggeration,true,grammar_c1_unless_condition|grammar_c1_excessive_result|grammar_c1_taking_into_account
V-지 않는 한,C1,Notwendige Bedingung,"Zeigt, dass ein Ergebnis nur möglich ist, wenn ein bestimmter Zustand beendet oder eine Bedingung erfüllt wird.",조치의 근거를 공개하지 않는 한 사람들의 협조를 오래 기대하기 어려워요.,"Solange die Grundlage der Maßnahme nicht offengelegt wird, ist dauerhafte Kooperation schwer zu erwarten.",Die Form bezeichnet eine notwendige Bedingung und nicht nur eine zeitliche Gleichzeitigkeit.,Necessary condition unless changed,Shows that a result is difficult or impossible unless a particular state changes or condition is met.,"Unless the basis for the measure is disclosed, lasting cooperation will be difficult to expect.","The clause states a necessary condition, not merely two events happening at the same time.",grammar_c1_unless_condition,Solange,Unless,true,grammar_c1_two_sides|grammar_c1_room_for|grammar_c1_rather_than
A/V-(으)ㄴ/는 한편,C1,Zwei gleichzeitig relevante Seiten,"Verbindet zwei unterschiedliche, oft kontrastierende Eigenschaften oder Entwicklungen, die beide für die Bewertung wichtig sind.",이 대책은 초기 비용을 줄이는 한편 기존 시설을 다시 쓸 수 있게 해요.,Die Maßnahme senkt einerseits die Anfangskosten und macht andererseits vorhandene Räume wieder nutzbar.,"Die beiden Seiten können kontrastieren, müssen aber nicht vollständig gegensätzlich sein.",Two concurrent sides,"Connects two different, often contrasting qualities or developments that are both relevant to the assessment.",The measure reduces initial costs while also bringing existing facilities back into use.,"The two sides may contrast, but they do not need to be exact opposites.",grammar_c1_two_sides,einerseits,while also,true,grammar_c1_excessive_result|grammar_c1_taking_into_account|grammar_c1_even_at_cost
V-(으)ㄴ 나머지,C1,Folge eines übermäßigen Zustands,Verbindet einen stark ausgeprägten Zustand oder eine übermäßige Handlung mit einer meist unbeabsichtigten negativen Folge.,눈에 보이는 성과만 서두른 나머지 정작 유지 비용을 계산하지 못했어요.,"Weil wir uns zu sehr auf sichtbare Ergebnisse versteiften, versäumten wir die laufenden Kosten zu berechnen.","Der erste Teil muss stark genug sein, um die unerwünschte Folge plausibel auszulösen.",Result of an excessive state,Links an excessive action or strongly felt state to an usually unintended negative result.,We became so focused on visible results that we failed to calculate the ongoing costs.,The first clause should be intense enough to plausibly cause the unwanted result.,grammar_c1_excessive_result,zu sehr,so focused,true,grammar_c1_room_for|grammar_c1_rather_than|grammar_c1_no_exaggeration
V-(으)ㄹ 여지가 있다,C1,Spielraum für Möglichkeit oder Auslegung,"Zeigt vorsichtig, dass noch eine Möglichkeit, Verbesserung oder andere Interpretation offensteht.",현재 수요만 보면 규모가 작아 보이지만 이용 시간이 늘면 다시 검토할 여지가 있어요.,"Nach der aktuellen Nachfrage wirkt der Umfang klein, doch bei längeren Nutzungszeiten besteht Spielraum für eine erneute Prüfung.","Die Form lässt eine Möglichkeit offen, ohne sie als wahrscheinlich oder sicher darzustellen.",Room for possibility or reconsideration,"Cautiously indicates that a possibility, improvement, or alternative interpretation remains open.","Current demand makes the scale look small, but longer opening hours would leave room to reconsider it.",The form leaves an option open without claiming that it is likely or certain.,grammar_c1_room_for,besteht Spielraum,leave room,true,grammar_c1_taking_into_account|grammar_c1_even_at_cost|grammar_c1_unless_condition
N을/를 감안하면,C1,Einschätzung unter Berücksichtigung eines Faktors,"Fordert dazu auf, einen relevanten Umstand in die folgende Einschätzung oder Entscheidung einzubeziehen.",지역마다 이동 방식이 다른 점을 감안하면 같은 제도를 그대로 적용하기는 어려워요.,"Wenn man die unterschiedlichen Mobilitätsmuster der Regionen berücksichtigt, lässt sich dasselbe Modell kaum unverändert anwenden.",Der berücksichtigte Faktor sollte die folgende Schlussfolgerung spürbar verändern.,Assessment taking a factor into account,Introduces a relevant circumstance that should materially shape the following judgment or decision.,"Taking regional differences in travel patterns into account, it is difficult to apply the same model unchanged.",The stated factor should meaningfully affect the conclusion.,grammar_c1_taking_into_account,berücksichtigt,Taking,true,grammar_c1_rather_than|grammar_c1_no_exaggeration|grammar_c1_two_sides
N을/를 불문하고,C2,Ohne Rücksicht auf eine Kategorie,"Zeigt in formellem Ton, dass eine Regel oder Aussage unabhängig von der genannten Kategorie gilt.",이의 제기 절차는 이용 경로나 판단 결과를 불문하고 누구에게나 열려 있어야 합니다.,"Ein Einspruchsverfahren muss allen offenstehen, unabhängig von Zugangsweg oder Entscheidungsergebnis.",Die Kategorie vor der Form sollte mögliche Unterschiede vollständig umfassen.,Regardless of category,States in a formal tone that a rule or claim applies regardless of the category named before the form.,"An appeals process should be open to everyone, regardless of access route or decision outcome.",The category before the form should cover the distinctions being set aside.,grammar_c2_regardless_of,unabhängig von,regardless of,true,grammar_c2_even_if_concession|grammar_c2_fortunate_counterfactual|grammar_c2_if_indeed
V-(으)ㄹ지언정,C2,Entschiedene Konzession,"Räumt eine schwierige Möglichkeit ein und betont zugleich, dass die nachfolgende Grenze oder Haltung trotzdem nicht aufgegeben wird.",검토에 시간이 더 걸릴지언정 자동 판정의 이유를 묻는 권리까지 없애서는 안 돼요.,"Auch wenn die Prüfung länger dauert, darf das Recht auf eine Begründung automatischer Entscheidungen nicht entfallen.",Die zweite Aussage enthält meist ein starkes Prinzip oder eine klare Grenze.,Resolute concession,Concedes a difficult possibility while insisting that the following principle or boundary will not be abandoned.,"Even if review takes longer, the right to ask why an automated decision was made must not be removed.",The second clause usually states a firm principle or nonnegotiable limit.,grammar_c2_even_if_concession,Auch wenn,Even if,true,grammar_c2_expected_assumption|grammar_c2_even_assuming|grammar_c2_nothing_more_than
