id,level,ko,de,en,field_notes,상태,jin_memo
pronunciation_b1_0001,B1,가능하면 오늘 안에 방문 시간과 예상 수리비를 알려 주시면 좋겠어요.,"Wenn möglich, wäre es hilfreich, wenn Sie mir noch heute die Besuchszeit und die voraussichtlichen Reparaturkosten mitteilen könnten.","If possible, I would appreciate it if you could tell me the visit time and estimated repair cost today.",rights: original; clean-room seed seed_b1_repair_followup; course b1_05_complaint_resolution; kind pronunciation,approved,Jin explicit app-integration approval (2026-08-17).
pronunciation_b1_0002,B1,누수가 다시 생기면 사진을 찍어 바로 연락하겠습니다.,"Wenn das Wasserleck erneut auftritt, mache ich ein Foto und melde mich sofort.","If the leak happens again, I will take a photo and contact you immediately.",rights: original; clean-room seed seed_b1_repair_followup; course b1_05_complaint_resolution; kind pronunciation,approved,Jin explicit app-integration approval (2026-08-17).
pronunciation_b1_0003,B1,난방 점검 일정을 내일 오전으로 잡았습니다.,Ich habe die Heizungsprüfung für morgen Vormittag vereinbart.,I scheduled the heating inspection for tomorrow morning.,rights: original; clean-room seed seed_b1_repair_followup; course b1_05_complaint_resolution; kind pronunciation,approved,Jin explicit app-integration approval (2026-08-17).
pronunciation_b1_0004,B1,수리비도 함께 알려 주시면 좋겠어요.,"Es wäre hilfreich, wenn Sie mir auch die Reparaturkosten nennen könnten.",I would appreciate it if you could also tell me the repair cost.,rights: original; clean-room seed seed_b1_repair_followup; course b1_05_complaint_resolution; kind pronunciation,approved,Jin explicit app-integration approval (2026-08-17).
pronunciation_b2_0001,B2,점검 결과와 후속 조치를 내일까지 서면으로 알려 주시기 바랍니다.,Bitte teilen Sie uns die Prüfergebnisse und Folgemaßnahmen bis morgen schriftlich mit.,Please provide the inspection results and follow-up action in writing by tomorrow.,rights: original; clean-room seed seed_b2_device_escalation; course b2_04_complaint_resolution; kind pronunciation,approved,Jin explicit app-integration approval (2026-08-17).
pronunciation_b2_0002,B2,같은 결함이 네 번이나 재발했습니다.,Derselbe Mangel ist bereits viermal aufgetreten.,The same defect has recurred four times.,rights: original; clean-room seed seed_b2_device_escalation; course b2_04_complaint_resolution; kind pronunciation,approved,Jin explicit app-integration approval (2026-08-17).
pronunciation_b2_0003,B2,접수 기록과 실제 처리 시간을 구분해 주세요.,Bitte unterscheiden Sie zwischen Erfassung und tatsächlicher Bearbeitungszeit.,Please distinguish the intake record from the actual processing time.,rights: original; clean-room seed seed_b2_device_escalation; course b2_04_complaint_resolution; kind pronunciation,approved,Jin explicit app-integration approval (2026-08-17).
pronunciation_b2_0004,B2,위험이 확인되면 즉시 사용을 정지해야 합니다.,"Wenn eine Gefahr festgestellt wird, muss die Nutzung sofort eingestellt werden.","If a risk is confirmed, the equipment must be taken out of use immediately.",rights: original; clean-room seed seed_b2_device_escalation; course b2_04_complaint_resolution; kind pronunciation,approved,Jin explicit app-integration approval (2026-08-17).
pronunciation_c1_0001,C1,현재 자료만으로 확대를 확정하기는 어렵지만 추가 조사를 거치면 다시 검토할 여지가 있습니다.,"Mit den aktuellen Daten lässt sich der Ausbau noch nicht bestätigen, aber nach einer weiteren Erhebung besteht Spielraum für eine erneute Prüfung.","The current data is not enough to confirm the expansion, but further research would leave room to reconsider it.",rights: original; clean-room seed seed_c1_survey_limits; course c1_01_evidence_public_reasoning; kind pronunciation,approved,Jin explicit app-integration approval (2026-08-17).
pronunciation_c1_0002,C1,표본이 치우쳐서 전체 집단으로 일반화하기 어렵습니다.,"Die Stichprobe ist verzerrt, daher lässt sich das Ergebnis nur schwer auf die Gesamtgruppe verallgemeinern.","The sample is skewed, so the result is difficult to generalize to the whole group.",rights: original; clean-room seed seed_c1_survey_limits; course c1_01_evidence_public_reasoning; kind pronunciation,approved,Jin explicit app-integration approval (2026-08-17).
pronunciation_c1_0003,C1,상관관계를 원인으로 단정하지 말아야 합니다.,Eine Korrelation darf nicht vorschnell als Ursache festgelegt werden.,A correlation must not be treated as the cause.,rights: original; clean-room seed seed_c1_survey_limits; course c1_01_evidence_public_reasoning; kind pronunciation,approved,Jin explicit app-integration approval (2026-08-17).
pronunciation_c1_0004,C1,불확실성을 명시하되 확인된 경향은 따로 설명하겠습니다.,Ich werde die Unsicherheit nennen und die bestätigte Tendenz gesondert erläutern.,I will state the uncertainty and explain the confirmed trend separately.,rights: original; clean-room seed seed_c1_survey_limits; course c1_01_evidence_public_reasoning; kind pronunciation,approved,Jin explicit app-integration approval (2026-08-17).
pronunciation_c2_0001,C2,처리 속도가 빠르다고 치더라도 이의 제기 절차와 인간의 재검토는 반드시 보장해야 합니다.,"Selbst wenn wir eine hohe Bearbeitungsgeschwindigkeit annehmen, müssen ein Einspruchsverfahren und eine menschliche Überprüfung gewährleistet sein.","Even assuming fast processing, an appeal process and human review must be guaranteed.",rights: original; clean-room seed seed_c2_automated_appeal; course c2_02_technology_public_ethics; kind pronunciation,approved,Jin explicit app-integration approval (2026-08-17).
pronunciation_c2_0002,C2,데이터의 출처를 소명할 수 있어야 합니다.,Die Herkunft der Daten muss nachvollziehbar dargelegt werden können.,It must be possible to account for the source of the data.,rights: original; clean-room seed seed_c2_automated_appeal; course c2_02_technology_public_ethics; kind pronunciation,approved,Jin explicit app-integration approval (2026-08-17).
pronunciation_c2_0003,C2,예외 사례는 인간 검토자가 다시 판단해야 합니다.,Ausnahmefälle müssen von einer menschlichen Prüfstelle erneut beurteilt werden.,Exceptional cases must be reconsidered by a human reviewer.,rights: original; clean-room seed seed_c2_automated_appeal; course c2_02_technology_public_ethics; kind pronunciation,approved,Jin explicit app-integration approval (2026-08-17).
pronunciation_c2_0004,C2,결정 과정을 추적하고 정기적으로 검증해야 합니다.,Der Entscheidungsprozess muss nachverfolgt und regelmäßig überprüft werden.,The decision-making process must be tracked and verified regularly.,rights: original; clean-room seed seed_c2_automated_appeal; course c2_02_technology_public_ethics; kind pronunciation,approved,Jin explicit app-integration approval (2026-08-17).
