id,level,ko,de,en,field_notes,상태,jin_memo
vocab_b1_0248,B1,관리비,Nebenkosten,maintenance fee / utilities,pack=b1_housing_contract_1; order=1; boss=false; full example in draft,draft,
vocab_b1_0249,B1,계약서,Vertrag,contract,pack=b1_housing_contract_1; order=2; boss=false; full example in draft,draft,
vocab_b1_0250,B1,세입자,Mieter oder Mieterin,tenant,pack=b1_housing_contract_1; order=3; boss=false; full example in draft,draft,
vocab_b1_0251,B1,입주하다,einziehen,to move in,pack=b1_housing_contract_1; order=4; boss=false; full example in draft,draft,
vocab_b1_0252,B1,퇴거하다,ausziehen,to move out,pack=b1_housing_contract_1; order=5; boss=false; full example in draft,draft,
vocab_b1_0253,B1,연장하다,verlängern,to extend,pack=b1_housing_contract_1; order=6; boss=false; full example in draft,draft,
vocab_b1_0254,B1,수리비,Reparaturkosten,repair costs,pack=b1_housing_contract_1; order=7; boss=false; full example in draft,draft,
vocab_b1_0255,B1,누수,Wasserleck,water leak,pack=b1_housing_contract_1; order=8; boss=false; full example in draft,draft,
vocab_b1_0256,B1,난방,Heizung,heating,pack=b1_housing_contract_1; order=9; boss=false; full example in draft,draft,
vocab_b1_0257,B1,부동산,Immobilienbüro,real estate agency,pack=b1_housing_contract_1; order=10; boss=true; full example in draft,draft,
vocab_b1_0258,B1,중개인,Makler oder Maklerin,real estate agent,pack=b1_housing_contract_1; order=11; boss=true; full example in draft,draft,
vocab_b1_0259,B1,이삿짐,Umzugssachen,moving belongings,pack=b1_housing_contract_1; order=12; boss=true; full example in draft,draft,
vocab_b2_0205,B2,조항,Klausel,clause,pack=b2_formal_agreement_1; order=1; boss=false; full example in draft,draft,
vocab_b2_0206,B2,해지하다,kündigen,to terminate,pack=b2_formal_agreement_1; order=2; boss=false; full example in draft,draft,
vocab_b2_0207,B2,갱신하다,erneuern,to renew,pack=b2_formal_agreement_1; order=3; boss=false; full example in draft,draft,
vocab_b2_0208,B2,협의하다,abstimmen,to consult / coordinate,pack=b2_formal_agreement_1; order=4; boss=false; full example in draft,draft,
vocab_b2_0209,B2,이행하다,erfüllen,to fulfill,pack=b2_formal_agreement_1; order=5; boss=false; full example in draft,draft,
vocab_b2_0210,B2,당사자,Vertragspartei,contracting party,pack=b2_formal_agreement_1; order=6; boss=false; full example in draft,draft,
vocab_b2_0211,B2,효력,Gültigkeit,legal effect,pack=b2_formal_agreement_1; order=7; boss=false; full example in draft,draft,
vocab_b2_0212,B2,기한,Frist,deadline,pack=b2_formal_agreement_1; order=8; boss=false; full example in draft,draft,
vocab_b2_0213,B2,서면,Schriftform,written form,pack=b2_formal_agreement_1; order=9; boss=false; full example in draft,draft,
vocab_b2_0214,B2,합의서,Vereinbarung,agreement,pack=b2_formal_agreement_1; order=10; boss=true; full example in draft,draft,
vocab_b2_0215,B2,위반하다,verletzen,to violate,pack=b2_formal_agreement_1; order=11; boss=true; full example in draft,draft,
vocab_b2_0216,B2,유예하다,aufschieben,to defer,pack=b2_formal_agreement_1; order=12; boss=true; full example in draft,draft,
