id,level,ko,de,en,field_notes,상태,jin_memo
smalltalk_b2_0065,B2,"피드백을 받을 때 바로 말해 주는 게 좋아요, 아니면 먼저 좋은 점을 듣는 게 좋아요?","Mögen Sie Feedback lieber direkt, oder möchten Sie zuerst hören, was schon gut funktioniert?","When you get feedback, do you prefer it directly, or would you rather hear what is working first?","Batch 05; category=work_study; kind=question; relationship=peer; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_b2_0066,B2,"회의가 자꾸 옆길로 새는데, 흐름을 어떻게 잡으면 좋을까요?",Unsere Besprechung schweift immer wieder ab. Wie können wir sie besser strukturieren?,The meeting keeps drifting off topic. How could we keep it on track?,"Batch 05; category=work_study; kind=question; relationship=coworker; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_b2_0067,B2,"이번 주에 일이 너무 겹쳤는데, 어느 약속부터 조정하는 게 나을까요?",Diese Woche überschneidet sich so viel. Welchen Termin sollte ich zuerst verschieben?,Too many things overlap this week. Which commitment should I adjust first?,"Batch 05; category=daily; kind=question; relationship=peer; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_b2_0068,B2,제목은 자극적인데 내용은 애매해요. 이 링크를 공유해도 될까요?,"Der Titel ist reißerisch, aber der Inhalt bleibt vage. Soll ich den Link teilen?","The headline is dramatic, but the content is vague. Should I share the link?","Batch 05; category=screen; kind=question; relationship=peer; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_b2_0069,B2,쉬는 중인데도 자꾸 휴대폰을 보게 돼요. 어디에 두면 덜 신경 쓰일까요?,"Obwohl ich Pause mache, schaue ich ständig aufs Handy. Wo könnte ich es hinlegen, damit es mich weniger ablenkt?",I keep checking my phone even while resting. Where could I put it so it distracts me less?,"Batch 05; category=screen; kind=question; relationship=close_friend; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_b2_0070,B2,발표 자료에 나온 통계의 출처가 안 보여요. 그대로 써도 괜찮을까요?,In den Folien fehlt die Quelle der Statistik. Können wir sie trotzdem verwenden?,I can't see the source for the statistic in the slides. Is it okay to use it as is?,"Batch 05; category=work_study; kind=question; relationship=classmate; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_b2_0071,B2,제 의견에 반대하는 말을 들으면 표정부터 굳어요. 어떻게 반응하면 좋을까요?,"Wenn jemand meiner Meinung widerspricht, werde ich sofort ernst. Wie könnte ich reagieren?","When someone disagrees with me, my expression stiffens right away. How could I respond?","Batch 05; category=mood; kind=question; relationship=coworker; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_b2_0072,B2,"지금 표결할까요, 아니면 의견 차이를 조금 더 이야기할까요?",Sollen wir jetzt abstimmen oder die Meinungsunterschiede noch etwas besprechen?,"Should we vote now, or talk through the differences a little more?","Batch 05; category=work_study; kind=question; relationship=coworker; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_b2_0073,B2,공용 세탁기 시간이 겹쳤어요. 이번에는 어떻게 나눠 쓰면 좋을까요?,Unsere Zeiten für die gemeinsame Waschmaschine überschneiden sich. Wie teilen wir sie diesmal auf?,Our shared washing-machine times overlap. How should we split them this time?,"Batch 05; category=daily; kind=question; relationship=peer; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_b2_0074,B2,오늘 손님이 늦게까지 있을 것 같은데 옆집에 뭐라고 말하면 자연스러울까요?,Meine Gäste bleiben heute wahrscheinlich länger. Wie kann ich das den Nachbarn natürlich sagen?,My guests may stay late tonight. What would be a natural way to tell the neighbors?,"Batch 05; category=daily; kind=question; relationship=peer; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_b2_0075,B2,출입문 변경 안내를 붙였는데 사람들이 계속 지나쳐요. 뭐가 문제일까요?,"Wir haben den Hinweis zum neuen Eingang aufgehängt, aber alle laufen daran vorbei. Woran könnte es liegen?","We posted a notice about the entrance change, but people keep missing it. What might be wrong?","Batch 05; category=daily; kind=question; relationship=coworker; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_b2_0076,B2,공용 주방에 제 물건이 남아 있었어요. 기분 상하지 않게 어떻게 풀까요?,"Meine Sachen lagen noch in der Gemeinschaftsküche. Wie kläre ich das, ohne jemanden zu verletzen?",My things were left in the shared kitchen. How can I resolve it without upsetting anyone?,"Batch 05; category=daily; kind=question; relationship=peer; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_b2_0077,B2,요즘 답장이 느린데 제가 너무 무심해 보일까 봐 걱정돼요.,"In letzter Zeit antworte ich langsam und fürchte, gleichgültig zu wirken.","My replies have been slow lately, and I'm worried I seem uncaring.","Batch 05; category=mood; kind=question; relationship=close_friend; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_b2_0078,B2,이번 주 부탁은 맡기 어려운데 너무 차갑지 않게 거절하려면 어떻게 말할까요?,"Ich kann die Aufgabe diese Woche nicht übernehmen. Wie lehne ich ab, ohne kalt zu wirken?",I cannot take on this request this week. How can I decline without sounding cold?,"Batch 05; category=work_study; kind=question; relationship=coworker; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_b2_0079,B2,둘 다 화가 난 상태인데 지금 끝까지 이야기하는 게 좋을까요?,Wir sind beide aufgebracht. Sollten wir das Gespräch trotzdem jetzt zu Ende führen?,We're both upset. Should we still finish the conversation right now?,"Batch 05; category=mood; kind=question; relationship=close_friend; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_b2_0080,B2,우리는 연락하는 방식이 너무 달라요. 한쪽만 참지 않으려면 어떻게 해야 할까요?,"Wir haben sehr unterschiedliche Kontaktgewohnheiten. Wie verhindern wir, dass nur eine Seite nachgibt?",We communicate very differently. How can we keep one person from doing all the compromising?,"Batch 05; category=daily; kind=question; relationship=close_friend; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_c1_0001,C1,새 안내 방식이 실제로 접근성을 높였는지 어떻게 확인할까요?,"Wie prüfen wir, ob die neue Information tatsächlich barriereärmer ist?",How can we check whether the new information actually improved accessibility?,"Batch 05; category=daily; kind=question; relationship=coworker; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_c1_0002,C1,개선안을 정하기 전에 당사자에게 어떤 질문부터 해야 할까요?,"Welche Frage sollten wir Betroffenen stellen, bevor wir eine Lösung festlegen?",What should we ask affected people before deciding on an improvement?,"Batch 05; category=daily; kind=question; relationship=peer; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_c1_0003,C1,"이 결과가 가설을 뒷받침한다고 봐도 될까요, 아니면 아직 자료가 부족할까요?","Stützt dieses Ergebnis schon die Hypothese, oder reichen die Daten noch nicht?","Does this result support the hypothesis, or is the evidence still too limited?","Batch 05; category=work_study; kind=question; relationship=coworker; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_c1_0004,C1,발표에서 연구의 한계를 어디까지 말해야 흐름을 해치지 않을까요?,"Wie ausführlich sollten wir die Grenzen der Studie nennen, ohne den Vortrag zu überladen?",How much should we say about the study's limitations without disrupting the presentation?,"Batch 05; category=work_study; kind=question; relationship=classmate; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_c1_0005,C1,엘리베이터가 멈췄는데 계단을 이용하기 어려운 분께 어떤 대안을 안내해야 할까요?,"Der Aufzug ist außer Betrieb. Welche Alternative bieten wir einer Person an, die die Treppe nicht nutzen kann?",The elevator is out of service. What alternative should we offer someone who cannot use the stairs?,"Batch 05; category=transport; kind=question; relationship=service; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_c1_0006,C1,연구 결과와 제 개인 경험이 다를 때는 어떻게 이야기하는 게 좋을까요?,"Wie spreche ich darüber, wenn meine persönliche Erfahrung von einem Studienergebnis abweicht?",How should I talk about it when my personal experience differs from research findings?,"Batch 05; category=health; kind=question; relationship=peer; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_c1_0007,C1,모두에게 같은 기준을 적용하면 공정하다고 볼 수 있을까요?,"Ist es fair, wenn für alle dieselbe Regel gilt?",Is it fair to apply exactly the same rule to everyone?,"Batch 05; category=daily; kind=question; relationship=coworker; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_c1_0008,C1,결과가 아직 불확실한데 회의에서 어느 정도까지 말해도 될까요?,Die Ergebnisse sind noch unsicher. Wie viel davon können wir in der Besprechung sagen?,The results are still uncertain. How much can we say in the meeting?,"Batch 05; category=work_study; kind=question; relationship=coworker; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_c1_0009,C1,확정된 내용이 적은데 첫 공지에서 무엇부터 밝혀야 할까요?,Nur wenig ist bestätigt. Was sollte die erste Mitteilung unbedingt enthalten?,Very little is confirmed. What should the first announcement make clear?,"Batch 05; category=daily; kind=question; relationship=coworker; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_c1_0010,C1,가능성은 있지만 확률이 낮다는 말을 어떻게 전하면 덜 헷갈릴까요?,"Wie erklären wir verständlich, dass etwas möglich, aber wenig wahrscheinlich ist?",How can we clearly explain that something is possible but unlikely?,"Batch 05; category=daily; kind=question; relationship=peer; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_c1_0011,C1,발표한 수치가 틀렸다는 걸 알았어요. 정정문에 무엇을 넣어야 할까요?,Wir haben einen Fehler in einer veröffentlichten Zahl entdeckt. Was gehört in die Korrektur?,We found an error in a published figure. What should the correction include?,"Batch 05; category=work_study; kind=question; relationship=coworker; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_c1_0012,C1,소문이 커지고 있는데 완전한 결과를 기다렸다가 발표해야 할까요?,Gerüchte nehmen zu. Sollten wir trotzdem auf vollständige Ergebnisse warten?,Rumors are growing. Should we still wait for complete results before speaking?,"Batch 05; category=daily; kind=question; relationship=coworker; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_c1_0013,C1,좋은 취지의 행사가 한 번으로 끝나지 않게 하려면 무엇이 필요할까요?,"Was braucht eine sinnvolle Aktion, damit sie nicht nach einem Termin endet?",What does a worthwhile initiative need so it does not end after one event?,"Batch 05; category=daily; kind=question; relationship=peer; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_c1_0014,C1,설치비는 싼데 유지비가 높은 장비를 골라도 될까요?,"Das Gerät ist günstig in der Anschaffung, aber teuer im Betrieb. Sollen wir es wählen?",The equipment is cheap to install but expensive to maintain. Should we choose it?,"Batch 05; category=work_study; kind=question; relationship=coworker; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_c1_0015,C1,다른 도시에서 성공한 제도를 우리 지역에도 그대로 가져와도 될까요?,Können wir ein erfolgreiches Modell aus einer anderen Stadt unverändert übernehmen?,Can we bring over a successful program from another city without changing it?,"Batch 05; category=daily; kind=question; relationship=coworker; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_c1_0016,C1,새 규칙의 부담이 몇 사람에게만 몰리지 않게 하려면 어떻게 할까요?,"Wie verhindern wir, dass die neue Regel nur wenige Menschen belastet?",How can we keep the new rule from placing the burden on only a few people?,"Batch 05; category=daily; kind=question; relationship=peer; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_c2_0001,C2,다수안이 채택돼도 소수 의견을 회의록에 남겨야 할까요?,"Sollten Minderheitspositionen im Protokoll bleiben, auch wenn die Mehrheit entscheidet?",Should minority views remain in the minutes even when the majority decides?,"Batch 05; category=work_study; kind=question; relationship=coworker; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_c2_0002,C2,결과가 좋아도 절차가 불공정했다면 그 결정을 받아들여야 할까요?,"Sollte eine Entscheidung akzeptiert werden, wenn das Ergebnis gut, das Verfahren aber unfair war?",Should we accept a decision when the result is good but the process was unfair?,"Batch 05; category=daily; kind=question; relationship=peer; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_c2_0003,C2,합의를 빨리 만들기보다 지켜야 할 원칙부터 정하는 게 나을까요?,Sollten wir vor einer schnellen Einigung zuerst die unverzichtbaren Prinzipien klären?,Should we identify nonnegotiable principles before trying to reach a quick consensus?,"Batch 05; category=work_study; kind=question; relationship=coworker; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_c2_0004,C2,같은 사건을 다룬 두 기사가 완전히 다르게 느껴지는 이유가 뭘까요?,Warum wirken zwei Artikel über dasselbe Ereignis völlig unterschiedlich?,Why do two articles about the same event feel completely different?,"Batch 05; category=screen; kind=question; relationship=peer; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_c2_0005,C2,상대의 선택에 동의하지 않아도 그 마음에는 공감할 수 있을까요?,"Kann man die Gefühle eines Menschen nachvollziehen, ohne seiner Entscheidung zuzustimmen?",Can we empathize with someone's feelings without agreeing with their decision?,"Batch 05; category=mood; kind=question; relationship=close_friend; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_c2_0006,C2,결말을 열어 둔 작품은 해석을 어디까지 허용한다고 봐야 할까요?,Wie weit darf eine Deutung bei einem offenen Ende gehen?,How far can interpretation go when a work leaves the ending open?,"Batch 05; category=work_study; kind=question; relationship=classmate; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_c2_0007,C2,규칙을 문서로 남기면 자동으로 공정해질까요?,"Wird eine Regel automatisch fair, nur weil sie schriftlich festgehalten ist?",Does writing a rule down automatically make it fair?,"Batch 05; category=daily; kind=question; relationship=coworker; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_c2_0008,C2,결정을 빨리 내려야 할 때 이견을 어디까지 보존해야 할까요?,"Wie viel Dissens sollten wir bewahren, wenn eine schnelle Entscheidung nötig ist?",How much disagreement should we preserve when a decision must be made quickly?,"Batch 05; category=work_study; kind=question; relationship=coworker; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_c2_0009,C2,어떤 상태를 문제라고 부를 권한은 누구에게 있어야 할까요?,"Wer sollte das Recht haben, einen Zustand als Problem zu benennen?",Who should have the authority to name a condition as a problem?,"Batch 05; category=daily; kind=question; relationship=peer; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_c2_0010,C2,짧은 영상에 나온 한 문장만으로 발언자의 뜻을 판단해도 될까요?,Kann man die Absicht einer Person anhand eines einzigen Satzes in einem kurzen Clip beurteilen?,Can we judge a speaker's intent from one sentence in a short clip?,"Batch 05; category=screen; kind=question; relationship=peer; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_c2_0011,C2,회의에서 아무 말도 하지 않은 사람을 동의한 것으로 봐도 될까요?,Dürfen wir Schweigen in einer Besprechung als Zustimmung werten?,Can we treat someone who stayed silent in a meeting as having agreed?,"Batch 05; category=work_study; kind=question; relationship=coworker; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_c2_0012,C2,질문이 찬성과 반대만 요구할 때 어떤 관점이 사라질 수 있을까요?,"Welche Perspektiven verschwinden, wenn eine Frage nur Zustimmung oder Ablehnung zulässt?",What perspectives can disappear when a question allows only yes or no?,"Batch 05; category=screen; kind=question; relationship=classmate; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_c2_0013,C2,자동 결정이 왜 나왔는지 나중에 추적하려면 지금 무엇을 남겨야 할까요?,"Was müssen wir jetzt dokumentieren, um eine automatische Entscheidung später nachvollziehen zu können?",What should we record now so an automated decision can be traced later?,"Batch 05; category=work_study; kind=question; relationship=coworker; rights: original; reply, safe alternative, and follow-up included; listening-ready",approved,Jin explicit app-integration approval (2026-08-15).
