id,level,ko,de,en,field_notes,상태,jin_memo
grammar_b2_not_automatic_conclusion,B2,A/V-다고 해서 A/V-는 것은 아니다,Keine automatische Schlussfolgerung,Rejecting an automatic conclusion,Batch 05; quiz-ready; rights: original; DE focus=Nur weil once; EN focus=Just because once; 3 same-level quiz distractors; independently authored advanced usage,approved,Jin explicit app-integration approval (2026-08-15).
grammar_b2_outcome_depends,B2,V-느냐에 달려 있다,Ergebnis abhängig von einer Bedingung,Outcome depending on a choice,Batch 05; quiz-ready; rights: original; DE focus=hängt davon ab once; EN focus=depends on once; 3 same-level quiz distractors; independently authored advanced usage,approved,Jin explicit app-integration approval (2026-08-15).
grammar_b2_turning_point,B2,N을/를 계기로,Anlass für eine Veränderung,Turning point for a change,Batch 05; quiz-ready; rights: original; DE focus=gab den Anlass once; EN focus=turning point once; 3 same-level quiz distractors; independently authored advanced usage,approved,Jin explicit app-integration approval (2026-08-15).
grammar_b2_shared_merit,B2,A/V-다는 점에서,Bewertung nach einem gemeinsamen Merkmal,Evaluation from a stated aspect,Batch 05; quiz-ready; rights: original; DE focus=insofern once; EN focus=in that once; 3 same-level quiz distractors; independently authored advanced usage,approved,Jin explicit app-integration approval (2026-08-15).
grammar_b2_in_light_of,B2,N에 비추어 볼 때,Urteil im Licht eines Maßstabs,Judgment in light of evidence,Batch 05; quiz-ready; rights: original; DE focus=Im Licht once; EN focus=In light of once; 3 same-level quiz distractors; independently authored advanced usage,approved,Jin explicit app-integration approval (2026-08-15).
grammar_b2_compared_with,B2,A/V-(으)ㄴ/는 데 비해,Kontrast zu einer Vergleichsbasis,Contrast against a baseline,Batch 05; quiz-ready; rights: original; DE focus=Während once; EN focus=Whereas once; 3 same-level quiz distractors; independently authored advanced usage,approved,Jin explicit app-integration approval (2026-08-15).
grammar_b2_only_course,B2,V-(으)ㄹ 따름이다,Nur eine begrenzte Haltung oder Handlung,Nothing more than the stated course,Batch 05; quiz-ready; rights: original; DE focus=bleibt uns nur once; EN focus=all we can do once; 3 same-level quiz distractors; independently authored advanced usage,approved,Jin explicit app-integration approval (2026-08-15).
grammar_b2_instead_tradeoff,B2,V-는 대신(에),Ersatz mit Ausgleich,Substitution or tradeoff,Batch 05; quiz-ready; rights: original; DE focus=Statt once; EN focus=Instead of once; 3 same-level quiz distractors; independently authored advanced usage,approved,Jin explicit app-integration approval (2026-08-15).
grammar_c1_rather_than,C1,V-(으)ㄹ 바에야,Bevorzugung der weniger schlechten Alternative,Choosing the less undesirable option,Batch 05; quiz-ready; rights: original; DE focus=Bevor once; EN focus=Rather than once; 3 same-level quiz distractors; independently authored advanced usage,approved,Jin explicit app-integration approval (2026-08-15).
grammar_c1_even_at_cost,C1,V-는 한이 있어도,Entschlossenheit trotz hoher Kosten,Resolve despite a serious cost,Batch 05; quiz-ready; rights: original; DE focus=Selbst wenn once; EN focus=Even if once; 3 same-level quiz distractors; independently authored advanced usage,approved,Jin explicit app-integration approval (2026-08-15).
grammar_c1_no_exaggeration,C1,A/V-다고 해도 과언이 아니다,"Nachdrückliche, begründbare Bewertung",Strong but supportable assessment,Batch 05; quiz-ready; rights: original; DE focus=keine Übertreibung once; EN focus=no exaggeration once; 3 same-level quiz distractors; independently authored advanced usage,approved,Jin explicit app-integration approval (2026-08-15).
grammar_c1_unless_condition,C1,V-지 않는 한,Notwendige Bedingung,Necessary condition unless changed,Batch 05; quiz-ready; rights: original; DE focus=Solange once; EN focus=Unless once; 3 same-level quiz distractors; independently authored advanced usage,approved,Jin explicit app-integration approval (2026-08-15).
grammar_c1_two_sides,C1,A/V-(으)ㄴ/는 한편,Zwei gleichzeitig relevante Seiten,Two concurrent sides,Batch 05; quiz-ready; rights: original; DE focus=einerseits once; EN focus=while also once; 3 same-level quiz distractors; independently authored advanced usage,approved,Jin explicit app-integration approval (2026-08-15).
grammar_c1_excessive_result,C1,V-(으)ㄴ 나머지,Folge eines übermäßigen Zustands,Result of an excessive state,Batch 05; quiz-ready; rights: original; DE focus=zu sehr once; EN focus=so focused once; 3 same-level quiz distractors; independently authored advanced usage,approved,Jin explicit app-integration approval (2026-08-15).
grammar_c1_room_for,C1,V-(으)ㄹ 여지가 있다,Spielraum für Möglichkeit oder Auslegung,Room for possibility or reconsideration,Batch 05; quiz-ready; rights: original; DE focus=besteht Spielraum once; EN focus=leave room once; 3 same-level quiz distractors; independently authored advanced usage,approved,Jin explicit app-integration approval (2026-08-15).
grammar_c1_taking_into_account,C1,N을/를 감안하면,Einschätzung unter Berücksichtigung eines Faktors,Assessment taking a factor into account,Batch 05; quiz-ready; rights: original; DE focus=berücksichtigt once; EN focus=Taking once; 3 same-level quiz distractors; independently authored advanced usage,approved,Jin explicit app-integration approval (2026-08-15).
grammar_c2_regardless_of,C2,N을/를 불문하고,Ohne Rücksicht auf eine Kategorie,Regardless of category,Batch 05; quiz-ready; rights: original; DE focus=unabhängig von once; EN focus=regardless of once; 3 same-level quiz distractors; independently authored advanced usage,approved,Jin explicit app-integration approval (2026-08-15).
grammar_c2_even_if_concession,C2,V-(으)ㄹ지언정,Entschiedene Konzession,Resolute concession,Batch 05; quiz-ready; rights: original; DE focus=Auch wenn once; EN focus=Even if once; 3 same-level quiz distractors; independently authored advanced usage,approved,Jin explicit app-integration approval (2026-08-15).
grammar_c2_expected_assumption,C2,V-(으)리라 여겨지다,Früher als selbstverständlich geltende Erwartung,Expectation once considered likely,Batch 05; quiz-ready; rights: original; DE focus=ging davon aus once; EN focus=was expected once; 3 same-level quiz distractors; independently authored advanced usage,approved,Jin explicit app-integration approval (2026-08-15).
grammar_c2_fortunate_counterfactual,C2,A/V-기에 망정이지,Erleichterung über einen günstigen Umstand,Relief over a fortunate circumstance,Batch 05; quiz-ready; rights: original; DE focus=Zum Glück once; EN focus=Fortunately once; 3 same-level quiz distractors; independently authored advanced usage,approved,Jin explicit app-integration approval (2026-08-15).
grammar_c2_even_assuming,C2,A/V-(으)ㄴ/는다고 치더라도,Weitgehende hypothetische Konzession,Far-reaching hypothetical concession,Batch 05; quiz-ready; rights: original; DE focus=unter der Annahme once; EN focus=Even assuming once; 3 same-level quiz distractors; independently authored advanced usage,approved,Jin explicit app-integration approval (2026-08-15).
grammar_c2_if_indeed,C2,V-(으)ㄹ진대,Formelle Folgerung aus einer Prämisse,Formal inference from a premise,Batch 05; quiz-ready; rights: original; DE focus=Wenn Technologie once; EN focus=If technology once; 3 same-level quiz distractors; independently authored advanced usage,approved,Jin explicit app-integration approval (2026-08-15).
grammar_c2_nothing_more_than,C2,N에 불과하다,Reduktion auf einen begrenzten Status,Reduction to a limited status,Batch 05; quiz-ready; rights: original; DE focus=nichts weiter once; EN focus=nothing more once; 3 same-level quiz distractors; independently authored advanced usage,approved,Jin explicit app-integration approval (2026-08-15).
grammar_c2_likely_negative,C2,V-기 십상이다,Hohe Wahrscheinlichkeit einer negativen Folge,Strong likelihood of a negative result,Batch 05; quiz-ready; rights: original; DE focus=wird once; EN focus=are likely once; 3 same-level quiz distractors; independently authored advanced usage,approved,Jin explicit app-integration approval (2026-08-15).
