stage_id,building,sequence,asset,locale,process,observe,scene,line,task,targets,speech_act
hyeopmun-foundation,hyeopmun,1,hyeopmun/stages/stage_01_foundation.png,ko,발 디딜 곳 만들기,세 단의 계단 위에 기둥을 받을 돌 두 개가 있어요.,방문객이 아래에서 올라오고 있어요. 안내하는 사람은 계단 위에서 기다려요.,조심해서 올라오세요.,계단 위에서 방문객을 맞이한다고 생각하고 한마디 해 보세요.,위 | 아래 | 올라오다,cautious invitation
hyeopmun-foundation,hyeopmun,1,hyeopmun/stages/stage_01_foundation.png,en,Build the stone base,Two post bases sit above the three stone steps.,A visitor is coming up from below. The person showing them around waits at the top.,Please come up carefully.,Imagine you are welcoming the visitor from the top of the steps. Say something to them.,위 | 아래 | 올라오다,cautious invitation
hyeopmun-foundation,hyeopmun,1,hyeopmun/stages/stage_01_foundation.png,de,Die Steinbasis setzen,Über den drei Steinstufen liegen zwei Steine für die Pfosten.,Ein Gast kommt von unten herauf. Die begleitende Person wartet oben an der Treppe.,Kommen Sie bitte vorsichtig hoch.,"Stell dir vor, du empfängst den Gast oben an der Treppe. Sprich ihn an.",위 | 아래 | 올라오다,cautious invitation
hyeopmun-frame,hyeopmun,2,hyeopmun/stages/stage_02_frame.png,ko,문 골조 세우기,기둥 사이에는 지나갈 수 있는 빈 공간이 남아요.,방문객이 길을 물어요. 안내하는 사람이 함께 지나갈 통로를 가리켜요.,이 사이로 지나가요.,그림에서 두 기둥 사이로 지나는 길을 골라 보세요.,사이 | 지나가다,route explanation
hyeopmun-frame,hyeopmun,2,hyeopmun/stages/stage_02_frame.png,en,Raise the gate frame,An open passage remains between the posts.,A visitor asks the way. The person guiding them points to the passage they will take together.,We go through here.,Choose the route through the space between the posts.,사이 | 지나가다,route explanation
hyeopmun-frame,hyeopmun,2,hyeopmun/stages/stage_02_frame.png,de,Den Torrahmen aufrichten,Zwischen den Pfosten bleibt ein Durchgang frei.,Ein Gast fragt nach dem Weg. Die begleitende Person zeigt auf den gemeinsamen Weg durch das Tor.,Wir gehen hier hindurch.,Wähle den Weg zwischen den Pfosten.,사이 | 지나가다,route explanation
hyeopmun-rafters,hyeopmun,3,hyeopmun/stages/stage_03_rafters.png,ko,지붕 뼈대 얹기,서까래가 도리에 걸쳐 지붕의 경사를 만들어요.,체험 모형을 함께 조립해요. 상대가 어느 쪽을 잡을지 물어요.,이쪽을 잡아 주세요.,잡아 줄 부분을 가리키며 정중하게 부탁해 보세요.,이쪽 | 잡다 | -아 주세요,request
hyeopmun-rafters,hyeopmun,3,hyeopmun/stages/stage_03_rafters.png,en,Assemble the roof frame,The rafters rest on the purlins and establish the roof slope.,Two adults assemble a demonstration model together. One asks which side to hold.,Please hold this side.,Point to the part you need held and ask politely for help.,이쪽 | 잡다 | -아 주세요,request
hyeopmun-rafters,hyeopmun,3,hyeopmun/stages/stage_03_rafters.png,de,Das Dachgerüst aufsetzen,Die Sparren liegen auf den Pfetten und bilden die Dachneigung.,"Zwei Erwachsene bauen gemeinsam ein Anschauungsmodell. Eine Person fragt, welche Seite sie halten soll.",Halten Sie bitte diese Seite fest.,"Zeige auf die Stelle, die festgehalten werden soll, und bitte höflich um Hilfe.",이쪽 | 잡다 | -아 주세요,request
hyeopmun-roof-bed,hyeopmun,4,hyeopmun/stages/stage_04_roof_bed.png,ko,지붕 바탕 만들기,나무 바탕 위에 기와를 받을 흙 층이 생겨요.,오늘날의 방문 장면이에요. 두 사람이 밖에 있는데 비가 오기 시작해요. 들어가도 되는 실내 공간이 가까이 있어요.,비가 와요. 안으로 들어가요.,함께 있는 사람에게 안으로 들어가자고 말해 보세요.,비가 오다 | 안으로 | 들어가다,observation and suggestion
hyeopmun-roof-bed,hyeopmun,4,hyeopmun/stages/stage_04_roof_bed.png,en,Lay the roof bedding,An earth layer above the timber boarding will support the tiles.,"During a present-day visit, rain starts while two people are outside. An indoor space they may enter is nearby.",It's raining. Let's go inside.,Suggest going inside together.,비가 오다 | 안으로 | 들어가다,observation and suggestion
hyeopmun-roof-bed,hyeopmun,4,hyeopmun/stages/stage_04_roof_bed.png,de,Die Dachunterlage herstellen,Über der Holzschalung entsteht eine Erdschicht als Unterlage für die Ziegel.,Bei einem heutigen Besuch beginnt es zu regnen. Zwei Personen stehen draußen; ein zugänglicher Innenraum ist in der Nähe.,Es regnet. Gehen wir hinein.,"Schlage vor, gemeinsam hineinzugehen.",비가 오다 | 안으로 | 들어가다,observation and suggestion
hyeopmun-roof-tiles,hyeopmun,5,hyeopmun/stages/stage_05_roof_tiles.png,ko,기와 덮기,기와가 겹쳐지고 용마루가 마감돼요.,방문객이 지붕의 역할을 물어요. 안내하는 사람이 짧게 설명해요.,지붕이 비를 막아 줘요.,비를 막아 주는 부분을 골라 보세요.,지붕 | 비 | 막아 주다,explanation
hyeopmun-roof-tiles,hyeopmun,5,hyeopmun/stages/stage_05_roof_tiles.png,en,Cover the roof with tiles,Overlapping tiles and the finished ridge complete the roof covering.,A visitor asks what the roof does. The person showing them around gives a brief explanation.,The roof keeps the rain off.,Choose the part that keeps the rain off.,지붕 | 비 | 막아 주다,explanation
hyeopmun-roof-tiles,hyeopmun,5,hyeopmun/stages/stage_05_roof_tiles.png,de,Das Dach mit Ziegeln decken,Überlappende Ziegel und der fertige First schließen die Dachdeckung ab.,Ein Gast fragt nach der Aufgabe des Dachs. Die begleitende Person erklärt sie kurz.,Das Dach hält den Regen ab.,"Wähle den Teil, der den Regen abhält.",지붕 | 비 | 막아 주다,explanation
hyeopmun-complete,hyeopmun,6,hyeopmun/stages/stage_06_complete.png,ko,문 달고 완성하기,두 짝의 판문과 손잡이가 달려 정본 모습이 완성돼요.,처음 방문한 공간의 문 앞이에요. 방문객은 출입이 가능한지 안내하는 사람에게 물어요.,들어가도 돼요?,처음 가 보는 공간에 들어가기 전에 허락을 물어보세요.,들어가다 | -아도 되다,permission question
hyeopmun-complete,hyeopmun,6,hyeopmun/stages/stage_06_complete.png,en,Hang the doors and finish,Two plank door leaves and their handles bring the gate to its approved finished appearance.,"At the gate to an unfamiliar space, a visitor asks the person guiding them whether they may enter.",May I go in?,Ask permission before entering an unfamiliar space.,들어가다 | -아도 되다,permission question
hyeopmun-complete,hyeopmun,6,hyeopmun/stages/stage_06_complete.png,de,Die Torflügel einsetzen,Zwei Brettertürflügel mit Griffen vervollständigen die freigegebene Toransicht.,"Vor dem Tor zu einem unbekannten Bereich fragt ein Gast die begleitende Person, ob er eintreten darf.",Darf ich hineingehen?,"Frage um Erlaubnis, bevor du einen unbekannten Bereich betrittst.",들어가다 | -아도 되다,permission question
changgo-foundation,changgo,1,changgo/stages/stage_01_foundation.png,ko,기초 놓기,낮은 돌기단이 길게 이어져요. 계단은 없어요.,두 사람이 완성 참고 그림과 기초를 함께 봐요. 한 사람이 창고의 모양을 물어요.,길고 낮아요.,창고의 모양에 맞는 표현을 골라 보세요.,길다 | 낮다 | -고,description
changgo-foundation,changgo,1,changgo/stages/stage_01_foundation.png,en,Set the foundations,The low stone base extends lengthwise. There are no stairs.,Two people look at the finished reference and the foundations. One asks about the storehouse's shape.,It's long and low.,Choose the description that fits the storehouse.,길다 | 낮다 | -고,description
changgo-foundation,changgo,1,changgo/stages/stage_01_foundation.png,de,Die Fundamente setzen,Der niedrige Steinsockel zieht sich in die Länge. Eine Treppe gibt es nicht.,Zwei Personen betrachten die fertige Referenzansicht und die Fundamente. Eine Person fragt nach der Form des Lagerhauses.,Es ist lang und niedrig.,Wähle die passende Beschreibung des Lagerhauses.,길다 | 낮다 | -고,description
changgo-posts,changgo,2,changgo/stages/stage_02_posts.png,ko,기둥 세우기,앞줄과 뒷줄의 기둥 사이로 건물의 깊이가 보여요.,건축 모형 설명을 듣는 사람이 기둥 배치를 물어요. 설명하는 사람이 앞줄과 뒷줄을 가리켜요.,앞뒤로 나란히 세워요.,앞줄과 뒷줄의 기둥을 모두 가리키는 설명을 골라 보세요.,앞뒤 | 나란히 | 세우다,process explanation
changgo-posts,changgo,2,changgo/stages/stage_02_posts.png,en,Raise the posts,The gap between the front and rear post rows reveals the building's depth.,Someone asks how the posts are arranged in a building model. The demonstrator points to the front and rear rows.,We set them in parallel rows at the front and back.,Choose the description that includes both post rows.,앞뒤 | 나란히 | 세우다,process explanation
changgo-posts,changgo,2,changgo/stages/stage_02_posts.png,de,Die Pfosten aufrichten,Zwischen der vorderen und hinteren Pfostenreihe wird die Gebäudetiefe sichtbar.,Bei einer Modellvorführung fragt jemand nach der Anordnung der Pfosten. Die vorführende Person zeigt auf die vordere und hintere Reihe.,Wir stellen sie vorne und hinten in parallelen Reihen auf.,"Wähle die Beschreibung, die beide Pfostenreihen erfasst.",앞뒤 | 나란히 | 세우다,process explanation
changgo-beams,changgo,3,changgo/stages/stage_03_beams.png,ko,보와 도리 연결하기,가로 부재가 기둥을 연결해 하나의 골조를 만들어요.,체험 모형의 긴 부품을 옮겨요. 상대가 도울 일이 있는지 물어요.,같이 옮겨 주세요.,긴 부품을 함께 옮겨 달라고 부탁해 보세요.,같이 | 옮기다 | -어 주세요,request for joint action
changgo-beams,changgo,3,changgo/stages/stage_03_beams.png,en,Connect beams and purlins,Horizontal members connect the posts into one frame.,A long component of a demonstration model needs moving. The other person offers help.,Please help me move it.,Ask the other person to help you move the long component.,같이 | 옮기다 | -어 주세요,request for joint action
changgo-beams,changgo,3,changgo/stages/stage_03_beams.png,de,Balken und Pfetten verbinden,Waagerechte Hölzer verbinden die Pfosten zu einem Gerüst.,Ein langes Bauteil eines Anschauungsmodells muss versetzt werden. Die andere Person bietet Hilfe an.,"Helfen Sie mir bitte, es zu versetzen.","Bitte die andere Person, dir beim Versetzen des langen Bauteils zu helfen.",같이 | 옮기다 | -어 주세요,request for joint action
changgo-rafters,changgo,4,changgo/stages/stage_04_rafters.png,ko,서까래와 바탕널 얹기,서까래가 앞뒤 지붕면을 만들고 처마까지 이어져요.,체험 모형을 조립하는 두 사람이 받침 위치를 보고 있어요. 부품을 든 사람이 놓을 곳을 물어요.,그 위에 올려 주세요.,받침을 가리키며 부품을 올려놓을 곳을 알려 주세요.,위에 | 올리다 | -어 주세요,placement request
changgo-rafters,changgo,4,changgo/stages/stage_04_rafters.png,en,Add rafters and boarding,The rafters form the front and rear roof slopes and extend to the eaves.,Two adults assembling a model look at a support. The person holding a component asks where to put it.,Please put it on top of that.,Point to the support and say where the component should go.,위에 | 올리다 | -어 주세요,placement request
