id,level,ko,de,en,field_notes,상태,jin_memo
vocab_a1_0779,A1,가장,am meisten,most,rights: original_clean_room; pack=a1_adverbs_1; order=1; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0780,A1,그래서,deshalb,"so, therefore",rights: original_clean_room; pack=a1_adverbs_1; order=2; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0781,A1,그러니까,deswegen,"so, that's why",rights: original_clean_room; pack=a1_adverbs_1; order=3; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0782,A1,그러면,dann,"then, if so",rights: original_clean_room; pack=a1_adverbs_1; order=4; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0783,A1,그런데,aber,"but, by the way",rights: original_clean_room; pack=a1_adverbs_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0784,A1,그럼,dann,then,rights: original_clean_room; pack=a1_adverbs_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0785,A1,그렇지만,"aber, dennoch","but, however",rights: original_clean_room; pack=a1_adverbs_1; order=7; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0786,A1,그리고,und,and,rights: original_clean_room; pack=a1_adverbs_1; order=8; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0787,A1,못,nicht können,cannot,rights: original_clean_room; pack=a1_adverbs_1; order=9; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0788,A1,보통,normalerweise,usually,rights: original_clean_room; pack=a1_adverbs_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
