id,level,ko,de,en,field_notes,상태,jin_memo
vocab_a1_0212,A1,인사드리겠습니다,ich werde mich hoeflich vorstellen,I will greet you respectfully,rights: original; pack: a1_partner_meet_names_1; canonical sentence derives cloze_a1_0100 and satz_a1_0064,draft,
vocab_a1_0213,A1,인사드리다,sich höflich vorstellen,to greet respectfully,rights: original; pack: a1_partner_meet_names_1; canonical sentence derives cloze_a1_0101 and satz_a1_0065,draft,
vocab_a1_0214,A1,장인어른,Schwiegervater der Frau,wife's father; father-in-law,rights: original; pack: a1_partner_meet_names_1; canonical sentence derives cloze_a1_0102 and satz_a1_0066,draft,
vocab_a1_0215,A1,장모님,Schwiegermutter der Frau,wife's mother; mother-in-law,rights: original; pack: a1_partner_meet_names_1; canonical sentence derives cloze_a1_0103 and satz_a1_0067,draft,
vocab_a1_0216,A1,시아버지,Schwiegervater des Mannes,husband's father,rights: original; pack: a1_partner_meet_names_1; canonical sentence derives cloze_a1_0104 and satz_a1_0068,draft,
vocab_a1_0217,A1,시어머니,Schwiegermutter des Mannes,husband's mother,rights: original; pack: a1_partner_meet_names_1; canonical sentence derives cloze_a1_0105 and satz_a1_0069,draft,
vocab_a1_0218,A1,호칭,Anrede,form of address,rights: original; pack: a1_partner_meet_names_1; canonical sentence derives cloze_a1_0106 and satz_a1_0070,draft,
vocab_a1_0219,A1,높임말,Hoeflichkeitsform,raised speech,rights: original; pack: a1_partner_meet_names_1; canonical sentence derives cloze_a1_0107 and satz_a1_0071,draft,
vocab_a1_0220,A1,성함을 묻다,nach dem Namen fragen,to ask someone's name politely,rights: original; pack: a1_partner_meet_names_1; canonical sentence derives cloze_a1_0108 and satz_a1_0072,draft,
vocab_a1_0221,A1,몇 살이세요,wie alt sind Sie,how old are you (polite),rights: original; pack: a1_partner_meet_names_1; canonical sentence derives cloze_a1_0109 and satz_a1_0073,draft,
vocab_a1_0222,A1,잘 부탁드립니다,ich bitte um Ihr Wohlwollen,please look after me,rights: original; pack: a1_partner_meet_names_1; canonical sentence derives cloze_a1_0110 and satz_a1_0074,draft,
vocab_a1_0223,A1,댁에,bei Ihnen zu Hause,at your home (honorific),rights: original; pack: a1_partner_meet_names_1; canonical sentence derives cloze_a1_0111 and satz_a1_0075,draft,
vocab_a1_0224,A1,과일 바구니,Obstkorb,fruit basket,rights: original; pack: a1_partner_first_gift_1; canonical sentence derives cloze_a1_0112 and satz_a1_0076,draft,
vocab_a1_0225,A1,건강식품,Gesundheitslebensmittel,health food gift,rights: original; pack: a1_partner_first_gift_1; canonical sentence derives cloze_a1_0113 and satz_a1_0077,draft,
vocab_a1_0226,A1,과한 선물,zu großes Geschenk,overly big gift,rights: original; pack: a1_partner_first_gift_1; canonical sentence derives cloze_a1_0114 and satz_a1_0078,draft,
vocab_a1_0227,A1,작은 정성,kleine Aufmerksamkeit,a small token of care,rights: original; pack: a1_partner_first_gift_1; canonical sentence derives cloze_a1_0115 and satz_a1_0079,draft,
vocab_a1_0228,A1,포장,Verpackung,wrapping,rights: original; pack: a1_partner_first_gift_1; canonical sentence derives cloze_a1_0116 and satz_a1_0080,draft,
vocab_a1_0229,A1,받아 주세요,bitte nehmen Sie das,please accept this,rights: original; pack: a1_partner_first_gift_1; canonical sentence derives cloze_a1_0117 and satz_a1_0081,draft,
vocab_a1_0230,A1,사양하다,höflich ablehnen,to decline politely,rights: original; pack: a1_partner_first_gift_1; canonical sentence derives cloze_a1_0118 and satz_a1_0082,draft,
vocab_a1_0231,A1,빈손,mit leeren Händen,empty-handed,rights: original; pack: a1_partner_first_gift_1; canonical sentence derives cloze_a1_0119 and satz_a1_0083,draft,
vocab_a1_0232,A1,백화점 상품권,Kaufhausgutschein,department-store voucher,rights: original; pack: a1_partner_first_gift_1; canonical sentence derives cloze_a1_0120 and satz_a1_0084,draft,
vocab_a1_0233,A1,꽃다발,Blumenstrauß,bouquet,rights: original; pack: a1_partner_first_gift_1; canonical sentence derives cloze_a1_0121 and satz_a1_0085,draft,
vocab_a1_0234,A1,답례,Gegengeschenk,return gift,rights: original; pack: a1_partner_first_gift_1; canonical sentence derives cloze_a1_0122 and satz_a1_0086,draft,
vocab_a1_0235,A1,감사 인사,Dankesgruß,thank-you greeting,rights: original; pack: a1_partner_first_gift_1; canonical sentence derives cloze_a1_0123 and satz_a1_0087,draft,
vocab_a1_0236,A1,현관,Diele,entryway,rights: original; pack: a1_partner_house_entry_1; canonical sentence derives cloze_a1_0124 and satz_a1_0088,draft,
vocab_a1_0237,A1,손님 슬리퍼,Gaesteslipper,guest slippers,rights: original; pack: a1_partner_house_entry_1; canonical sentence derives cloze_a1_0125 and satz_a1_0089,draft,
vocab_a1_0238,A1,앉으세요,setzen Sie sich bitte,please sit down,rights: original; pack: a1_partner_house_entry_1; canonical sentence derives cloze_a1_0126 and satz_a1_0090,draft,
vocab_a1_0239,A1,윗목,der innere Sitzplatz,inner seat of the room,rights: original; pack: a1_partner_house_entry_1; canonical sentence derives cloze_a1_0127 and satz_a1_0091,draft,
vocab_a1_0240,A1,아랫목,der Platz näher zur Tür,seat nearer the door,rights: original; pack: a1_partner_house_entry_1; canonical sentence derives cloze_a1_0128 and satz_a1_0092,draft,
vocab_a1_0241,A1,무릎,Knie,knee,rights: original; pack: a1_partner_house_entry_1; canonical sentence derives cloze_a1_0129 and satz_a1_0093,draft,
vocab_a1_0242,A1,방석,Sitzkissen,floor cushion,rights: original; pack: a1_partner_house_entry_1; canonical sentence derives cloze_a1_0130 and satz_a1_0094,draft,
vocab_a1_0243,A1,물 드세요,trinken Sie etwas,please have some water,rights: original; pack: a1_partner_house_entry_1; canonical sentence derives cloze_a1_0131 and satz_a1_0095,draft,
vocab_a1_0244,A1,손 씻기,Händewaschen,washing hands,rights: original; pack: a1_partner_house_entry_1; canonical sentence derives cloze_a1_0132 and satz_a1_0096,draft,
vocab_a1_0245,A1,화장실 문,Toilettentuer,bathroom door,rights: original; pack: a1_partner_house_entry_1; canonical sentence derives cloze_a1_0133 and satz_a1_0097,draft,
vocab_a1_0246,A1,조용히 하다,leise sein,to keep quiet,rights: original; pack: a1_partner_house_entry_1; canonical sentence derives cloze_a1_0134 and satz_a1_0098,draft,
vocab_a1_0247,A1,집들이 예절,Besuchsmanieren,house-visit manners,rights: original; pack: a1_partner_house_entry_1; canonical sentence derives cloze_a1_0135 and satz_a1_0099,draft,
vocab_a1_0248,A1,진지,Mahlzeit (ehrenvoll),meal (honorific),rights: original; pack: a1_partner_table_basic_1; canonical sentence derives cloze_a1_0136 and satz_a1_0100,draft,
vocab_a1_0249,A1,수저,Löffel und Stäbchen,spoon and chopsticks,rights: original; pack: a1_partner_table_basic_1; canonical sentence derives cloze_a1_0137 and satz_a1_0101,draft,
vocab_a1_0250,A1,밑반찬,Grundbeilagen,basic side dishes,rights: original; pack: a1_partner_table_basic_1; canonical sentence derives cloze_a1_0138 and satz_a1_0102,draft,
vocab_a1_0251,A1,더 드세요,essen Sie noch mehr,please eat more,rights: original; pack: a1_partner_table_basic_1; canonical sentence derives cloze_a1_0139 and satz_a1_0103,draft,
vocab_a1_0252,A1,배불러요,ich bin satt,I am full,rights: original; pack: a1_partner_table_basic_1; canonical sentence derives cloze_a1_0140 and satz_a1_0104,draft,
vocab_a1_0253,A1,맛있어요,es schmeckt,it is delicious,rights: original; pack: a1_partner_table_basic_1; canonical sentence derives cloze_a1_0141 and satz_a1_0105,draft,
vocab_a1_0254,A1,집밥,Hausmannskost,home cooking,rights: original; pack: a1_partner_table_basic_1; canonical sentence derives cloze_a1_0142 and satz_a1_0106,draft,
vocab_a1_0255,A1,국물,Brühe,broth,rights: original; pack: a1_partner_table_basic_1; canonical sentence derives cloze_a1_0143 and satz_a1_0107,draft,
vocab_a1_0256,A1,젓가락질,Stäbchenhaltung,chopstick grip,rights: original; pack: a1_partner_table_basic_1; canonical sentence derives cloze_a1_0144 and satz_a1_0108,draft,
vocab_a1_0257,A1,앞접시,kleiner Essteller,individual side plate,rights: original; pack: a1_partner_table_basic_1; canonical sentence derives cloze_a1_0145 and satz_a1_0109,draft,
vocab_a1_0258,A1,수저 놓다,das Besteck ablegen,to put utensils down,rights: original; pack: a1_partner_table_basic_1; canonical sentence derives cloze_a1_0146 and satz_a1_0110,draft,
vocab_a1_0259,A1,설거지,Abwasch,doing the dishes,rights: original; pack: a1_partner_table_basic_1; canonical sentence derives cloze_a1_0147 and satz_a1_0111,draft,
vocab_a1_0260,A1,설날,"Seollal, Mondneujahr","Seollal, Lunar New Year",rights: original; pack: a1_partner_seollal_basic_1; canonical sentence derives cloze_a1_0148 and satz_a1_0112,draft,
vocab_a1_0261,A1,세배,Neujahrsverbeugung,New Year bow,rights: original; pack: a1_partner_seollal_basic_1; canonical sentence derives cloze_a1_0149 and satz_a1_0113,draft,
vocab_a1_0262,A1,떡국,Reiskuchen-Suppe,rice-cake soup,rights: original; pack: a1_partner_seollal_basic_1; canonical sentence derives cloze_a1_0150 and satz_a1_0114,draft,
vocab_a1_0263,A1,세뱃돈,Neujahrsgeld,New Year money,rights: original; pack: a1_partner_seollal_basic_1; canonical sentence derives cloze_a1_0151 and satz_a1_0115,draft,
