id,level,ko,de,en,field_notes,상태,jin_memo
smalltalk_a1_0065,A1,첫 인사와 호칭에서 인사드리겠습니다 어떻게 말해요?,Wie sage ich ich werde mich hoeflich vorstellen bei Erste Begrüßung und Anrede?,How do I say I will greet you respectfully during First greeting and address terms?,rights: original; pack: a1_partner_meet_names_1,approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_a1_0066,A1,댁에 때문에 어색하면 뭐라고 해요?,"Was sage ich, wenn bei Ihnen zu Hause unbeholfen wirkt?",What do I say if at your home (honorific) feels awkward?,rights: original; pack: a1_partner_meet_names_1,approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_a1_0067,A1,첫 방문 선물에서 과일 바구니 어떻게 말해요?,Wie sage ich Obstkorb bei Das erste Besuchgeschenk?,How do I say fruit basket during The first visit gift?,rights: original; pack: a1_partner_first_gift_1,approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_a1_0068,A1,감사 인사 때문에 어색하면 뭐라고 해요?,"Was sage ich, wenn Dankesgruß unbeholfen wirkt?",What do I say if thank-you greeting feels awkward?,rights: original; pack: a1_partner_first_gift_1,approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_a1_0069,A1,집 들어가기에서 현관 어떻게 말해요?,Wie sage ich Diele bei Ins Haus kommen?,How do I say entryway during Coming into the house?,rights: original; pack: a1_partner_house_entry_1,approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_a1_0070,A1,집들이 예절 때문에 어색하면 뭐라고 해요?,"Was sage ich, wenn Besuchsmanieren unbeholfen wirkt?",What do I say if house-visit manners feels awkward?,rights: original; pack: a1_partner_house_entry_1,approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_a1_0071,A1,첫 밥상에서 진지 어떻게 말해요?,Wie sage ich Mahlzeit (ehrenvoll) bei Der erste Familientisch?,How do I say meal (honorific) during The first family table?,rights: original; pack: a1_partner_table_basic_1,approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_a1_0072,A1,설거지 때문에 어색하면 뭐라고 해요?,"Was sage ich, wenn Abwasch unbeholfen wirkt?",What do I say if doing the dishes feels awkward?,rights: original; pack: a1_partner_table_basic_1,approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_a1_0073,A1,설날 첫걸음에서 설날 어떻게 말해요?,"Wie sage ich Seollal, Mondneujahr bei Erste Schritte an Seollal?","How do I say Seollal, Lunar New Year during First steps at Seollal?",rights: original; pack: a1_partner_seollal_basic_1,approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_a1_0074,A1,설빔 때문에 어색하면 뭐라고 해요?,"Was sage ich, wenn Neujahrskleidung unbeholfen wirkt?",What do I say if New Year clothes feels awkward?,rights: original; pack: a1_partner_seollal_basic_1,approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_a1_0075,A1,추석 첫걸음에서 추석 어떻게 말해요?,"Wie sage ich Chuseok, Erntedank bei Erste Schritte an Chuseok?","How do I say Chuseok, harvest festival during First steps at Chuseok?",rights: original; pack: a1_partner_chuseok_basic_1,approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_a1_0076,A1,차례 때문에 어색하면 뭐라고 해요?,"Was sage ich, wenn Ahnenritual unbeholfen wirkt?",What do I say if ancestral memorial rite feels awkward?,rights: original; pack: a1_partner_chuseok_basic_1,approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_a1_0077,A1,형제자매 첫 만남에서 처남 어떻게 말해요?,"Wie sage ich Schwager, Bruder der Frau bei Geschwister zum ersten Mal?",How do I say wife's brother during Meeting the siblings?,rights: original; pack: a1_partner_siblings_hello_1,approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_a1_0078,A1,단체 사진 때문에 어색하면 뭐라고 해요?,"Was sage ich, wenn Gruppenfoto unbeholfen wirkt?",What do I say if group photo feels awkward?,rights: original; pack: a1_partner_siblings_hello_1,approved,Jin explicit app-integration approval (2026-08-15).
smalltalk_a1_0079,A1,사진과 감사에서 인증샷 어떻게 말해요?,Wie sage ich Beweis-Foto bei Fotos und Dank?,How do I say proof photo during Photos and thanks?,rights: original; pack: a1_partner_photo_thanks_1,approved,Jin explicit app-integration approval (2026-08-15).
