category,headword,allowed_level,note
kinship,장인어른,A1,혼인 친족 호칭 · Fable 룰링 2026-09-07 · A1 유지
kinship,장모님,A1,혼인 친족 호칭 · Fable 룰링 2026-09-07 · A1 유지
kinship,시아버지,A1,혼인 친족 호칭 · Fable 룰링 2026-09-07 · A1 유지
kinship,시어머니,A1,혼인 친족 호칭 · Fable 룰링 2026-09-07 · A1 유지
kinship,아버님,A1,혼인 친족 호칭 · Fable 룰링 2026-09-07 · A1 유지
kinship,어머님,A1,혼인 친족 호칭 · Fable 룰링 2026-09-07 · A1 유지
kinship,형님,A1,혼인 친족 호칭 · Fable 룰링 2026-09-07 · A1 유지
kinship,아주버님,A1,혼인 친족 호칭 · Fable 룰링 2026-09-07 · A1 유지
kinship,도련님,A1,혼인 친족 호칭 · Fable 룰링 2026-09-07 · A1 유지
kinship,처남,A1,혼인 친족 호칭 · Fable 룰링 2026-09-07 · A1 유지
kinship,처형,A1,혼인 친족 호칭 · Fable 룰링 2026-09-07 · A1 유지
kinship,처제,A1,혼인 친족 호칭 · Fable 룰링 2026-09-07 · A1 유지
kinship,올케,A1,혼인 친족 호칭 · Fable 룰링 2026-09-07 · A1 유지
kinship,며느리,A1,혼인 친족 호칭 · Fable 룰링 2026-09-07 · A1 유지
kinship,사위,A1,혼인 친족 호칭 · Fable 룰링 2026-09-07 · A1 유지
kinship,시댁,A1,혼인 친족 호칭 · Fable 룰링 2026-09-07 · A1 유지
kinship,처가,A1,혼인 친족 호칭 · Fable 룰링 2026-09-07 · A1 유지
meta,발음,A1,학습 메타어 · Fable 룰링 2026-09-07 · A1 유지
meta,예문,A1,학습 메타어 · Fable 룰링 2026-09-07 · A1 유지
meta,높임말,A1,학습 메타어 · Fable 룰링 2026-09-07 · A1 유지
meta,호칭,A1,학습 메타어 · Fable 룰링 2026-09-07 · A1 유지
meta,반말,A1,학습 메타어 · Fable 룰링 2026-09-07 · A1 유지
meta,존댓말,A1,학습 메타어 · Fable 룰링 2026-09-07 · A1 유지
meta,문법,A1,학습 메타어 · Fable 룰링 2026-09-07 · A1 유지
meta,단어,A1,학습 메타어 · Fable 룰링 2026-09-07 · A1 유지
