id,level,ko,de,en,field_notes,상태,jin_memo
b2_w10_negotiate,B2,"촬영 조건, 다시 협상하기",Drehbedingungen neu verhandeln,Renegotiating the shoot terms,W10 Wave 2; shelf b2_negotiate; backdrop office; 9 dialog turns and 3 quests.,approved,"Fable (designer direct read, 2차 검수 반영) + Jin pending"
b2_w10_notice,B2,"과태료 이의신청, 다시 접수하기",Einspruch gegen das Bußgeld erneut einreichen,Resubmitting an objection to a fine,W10 Wave 2; shelf b2_notice; backdrop home; 8 dialog turns and 3 quests.,approved,"Fable (designer direct read, 2차 검수 반영) + Jin pending"
b2_w10_travel,B2,결항 후 책임자에게 요청하기,Nach dem Ausfall den Verantwortlichen um Hilfe bitten,Asking a supervisor for help after a cancellation,W10 Wave 2; shelf b2_travel; backdrop airport; 9 dialog turns and 3 quests.,approved,"Fable (designer direct read, 2차 검수 반영) + Jin pending"
b2_w10_health,B2,"약 부작용, 미리 확인하기",Nebenwirkungen vorab abklären,Checking medication side effects in advance,W10 Wave 2; shelf b2_health; backdrop pharmacy; 8 dialog turns and 3 quests.,approved,"Fable (designer direct read, 2차 검수 반영) + Jin pending"
b2_w10_partner,B2,미리 알려 주는 게 좋겠어,"Es wäre besser, vorher Bescheid zu geben",It would be better to let us know in advance,W10 Wave 2; shelf b2_partner; backdrop home; 8 dialog turns and 3 quests.,approved,"Fable (designer direct read, 2차 검수 반영) + Jin pending"
b2_w10_hiring,B2,"약점도 솔직하게, 조건도 정확하게","Schwächen ehrlich, Bedingungen genau","Honest about weaknesses, precise about conditions",W10 Wave 2; shelf b2_hiring; backdrop office; 9 dialog turns and 3 quests.,approved,"Fable (designer direct read, 2차 검수 반영) + Jin pending"
b2_w10_authorities,B2,"체류 기간 연장, 늦기 전에 묻기",Aufenthaltsverlängerung: rechtzeitig nachfragen,Visa extension: asking before it's too late,W10 Wave 2; shelf b2_authorities; backdrop office; 8 dialog turns and 3 quests.,approved,"Fable (designer direct read, 2차 검수 반영) + Jin pending"
b2_w10_privacy,B2,"안 쓰는 계정, 정보까지 삭제 요청하기",Ungenutztes Konto: auch die Daten löschen lassen,An unused account: requesting the data be deleted too,W10 Wave 2; shelf b2_privacy; backdrop home; 8 dialog turns and 3 quests.,approved,"Fable (designer direct read, 2차 검수 반영) + Jin pending"
b2_w10_fandom,B2,"모금액 공개, 어디까지가 적당할까",Wie viel von der Spendensumme offenlegen?,How much of the donation total should be public?,W10 Wave 2; shelf b2_fandom; backdrop cafe; 9 dialog turns and 3 quests.,approved,"Fable (designer direct read, 2차 검수 반영) + Jin pending"
c1_w10_uncertainty,C1,아직 확정되지 않은 수치를 고객에게 전하는 법,Wie man dem Kunden noch unsichere Zahlen mitteilt,How to tell the client about numbers that aren't final yet,W10 Wave 2; shelf c1_uncertainty; backdrop office; 9 dialog turns and 3 quests.,approved,"Fable (designer direct read, 2차 검수 반영) + Jin pending"
c1_w10_access,C1,계약서 폴더 접근 권한을 요청할 때,Wenn man Zugriff auf den Vertragsordner beantragt,Requesting access to the contracts folder,W10 Wave 2; shelf c1_access; backdrop office; 9 dialog turns and 3 quests.,approved,"Fable (designer direct read, 2차 검수 반영) + Jin pending"
c1_w10_labor,C1,화난 고객을 달래는 일도 성과일까,"Zählt es als Leistung, aufgebrachte Kunden zu beruhigen?",Does calming down angry clients count as work?,W10 Wave 2; shelf c1_labor; backdrop office; 9 dialog turns and 3 quests.,approved,"Fable (designer direct read, 2차 검수 반영) + Jin pending"
c1_w10_conflict_interest,C1,심사에서 이해관계를 미리 밝히기,Einen Interessenkonflikt vor der Begutachtung offenlegen,Disclosing a conflict of interest before a review,W10 Wave 2; shelf c1_conflict_interest; backdrop office; 9 dialog turns and 3 quests.,approved,"Fable (designer direct read, 2차 검수 반영) + Jin pending"
c1_w10_clinical,C1,임상 연구 참여 동의서 설명 듣기,Die Einwilligungserklärung für eine klinische Studie erklärt bekommen,Hearing the informed consent explanation for a clinical study,W10 Wave 2; shelf c1_clinical; backdrop office; 9 dialog turns and 3 quests.,approved,"Fable (designer direct read, 2차 검수 반영) + Jin pending"
c1_w10_methodology,C1,설문 표본이 결론을 뒷받침하는지 따지기,"Prüfen, ob die Umfragestichprobe die Schlussfolgerung stützt",Checking whether the survey sample supports the conclusion,W10 Wave 2; shelf c1_methodology; backdrop office; 9 dialog turns and 3 quests.,approved,"Fable (designer direct read, 2차 검수 반영) + Jin pending"
c1_w10_facework,C1,실수를 지적하되 체면은 지켜 주기,"Einen Fehler ansprechen, ohne das Gesicht zu verletzen",Pointing out a mistake without making someone lose face,W10 Wave 2; shelf c1_facework; backdrop office; 9 dialog turns and 3 quests.,approved,"Fable (designer direct read, 2차 검수 반영) + Jin pending"
c1_w10_friends,C1,"오래된 친구 사이, 달라진 형편 이야기하기",Mit einer alten Freundin über die unterschiedliche Lebenslage sprechen,Talking with an old friend about how differently things have turned out,W10 Wave 2; shelf c1_friends; backdrop cafe; 9 dialog turns and 3 quests.,approved,"Fable (designer direct read, 2차 검수 반영) + Jin pending"
