id,level,ko,de,en,field_notes,상태,jin_memo
cloze_a1_0586,a1,"미안해요, 버스가 늦었어요.","Entschuldigung, der Bus hatte Verspätung.","Sorry, the bus was late.",rights: original_clean_room; answer=늦었어요; topic=Zeit; unit=a1_09_home_daily_life; derived from vocab_a1_0652,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
cloze_a1_0587,a1,선생님한테 다시 물어요.,Ich frage den Lehrer noch einmal.,I ask the teacher again.,rights: original_clean_room; answer=물어요; topic=Kommunikation; unit=a1_08_clarify_repair; derived from vocab_a1_0653,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
cloze_a1_0588,a1,제 대답이 맞아요?,Ist meine Antwort richtig?,Is my answer right?,rights: original_clean_room; answer=맞아요; topic=Kommunikation; unit=a1_08_clarify_repair; derived from vocab_a1_0654,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
cloze_a1_0589,a1,아침에 샤워해요.,Ich dusche am Morgen.,I take a shower in the morning.,rights: original_clean_room; answer=샤워; topic=Alltag; unit=a1_09_home_daily_life; derived from vocab_a1_0655,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
cloze_a1_0590,a1,매일 세수해요.,Ich wasche mir jeden Tag das Gesicht.,I wash my face every day.,rights: original_clean_room; answer=세수; topic=Alltag; unit=a1_09_home_daily_life; derived from vocab_a1_0656,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
cloze_a1_0591,a1,제가 집을 청소해요.,Ich putze das Haus.,I clean the house.,rights: original_clean_room; answer=청소; topic=Alltag; unit=a1_09_home_daily_life; derived from vocab_a1_0657,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
cloze_a1_0592,a1,내일 여행을 준비해요.,Ich bereite morgen die Reise vor.,I prepare for the trip tomorrow.,rights: original_clean_room; answer=준비; topic=Alltag; unit=a1_09_home_daily_life; derived from vocab_a1_0658,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
cloze_a1_0593,a1,기숙사 생활이 재미있어요.,Das Wohnheimleben macht Spaß.,Dormitory life is fun.,rights: original_clean_room; answer=생활이; topic=Alltag; unit=a1_09_home_daily_life; derived from vocab_a1_0659,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
cloze_a1_0594,a1,잠을 못 잤어요.,Ich konnte nicht schlafen.,I couldn't sleep.,rights: original_clean_room; answer=잠을; topic=Alltag; unit=a1_09_home_daily_life; derived from vocab_a1_0660,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
cloze_a1_0595,a1,오늘 저녁은 제가 요리해요!,Heute Abend koche ich!,"Tonight, I'm cooking!",rights: original_clean_room; answer=요리; topic=Alltag; unit=a1_09_home_daily_life; derived from vocab_a1_0661,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
cloze_a1_0596,a1,가족과 식사해요.,Ich esse mit der Familie.,I have a meal with my family.,rights: original_clean_room; answer=식사; topic=Alltag; unit=a1_09_home_daily_life; derived from vocab_a1_0662,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
cloze_a1_0597,a1,에어컨을 켜요.,Ich schalte die Klimaanlage ein.,I turn on the air conditioner.,rights: original_clean_room; answer=에어컨을; topic=Technologie; unit=a1_09_home_daily_life; derived from vocab_a1_0663,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
cloze_a1_0598,a1,저는 운전을 잘해요.,Ich fahre gut Auto.,I'm good at driving.,rights: original_clean_room; answer=운전을; topic=Verkehr; unit=a1_09_home_daily_life; derived from vocab_a1_0664,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
cloze_a1_0599,a1,컴퓨터를 사용해요.,Ich benutze den Computer.,I use the computer.,rights: original_clean_room; answer=사용; topic=Technologie; unit=a1_09_home_daily_life; derived from vocab_a1_0665,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
cloze_a1_0600,a1,친구한테 부탁해요.,Ich bitte einen Freund um einen Gefallen.,I ask a friend for a favor.,rights: original_clean_room; answer=부탁; topic=Höflichkeit; unit=a1_09_home_daily_life; derived from vocab_a1_0666,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
cloze_a1_0601,a1,마야 씨가 가요를 불러요.,Maya singt ein Lied.,Maya sings a song.,rights: original_clean_room; answer=가요를; topic=Freizeit; unit=a1_11_titles_relationships; derived from vocab_a1_0667,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
cloze_a1_0602,a1,아이가 그림을 그려요.,Das Kind malt ein Bild.,The child draws a picture.,rights: original_clean_room; answer=그림을; topic=Bildung; unit=a1_11_titles_relationships; derived from vocab_a1_0668,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
cloze_a1_0603,a1,동생이 한국 드라마를 봐요.,Mein Geschwister schaut koreanische Dramen.,My younger sibling watches Korean dramas.,rights: original_clean_room; answer=드라마를; topic=Freizeit; unit=a1_11_titles_relationships; derived from vocab_a1_0669,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
cloze_a1_0604,a1,"수진 씨, 연극 보러 갈까요?","Sujin, sollen wir ein Theaterstück ansehen gehen?","Sujin, shall we go watch a play?",rights: original_clean_room; answer=연극; topic=Freizeit; unit=a1_11_titles_relationships; derived from vocab_a1_0670,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
cloze_a1_0605,a1,저 영화배우가 영화에 나와요.,Dieser Filmschauspieler tritt in einem Film auf.,That movie actor appears in a movie.,rights: original_clean_room; answer=영화배우가; topic=Person; unit=a1_11_titles_relationships; derived from vocab_a1_0671,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
cloze_a1_0606,a1,"크리스티안 씨, 우리 같이 콘서트에 갈까요?","Christian, sollen wir zusammen zum Konzert gehen?","Christian, shall we go to the concert together?",rights: original_clean_room; answer=콘서트; topic=Freizeit; unit=a1_11_titles_relationships; derived from vocab_a1_0672,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
cloze_a1_0607,a1,"크리스티안 씨, 저는 태권도를 배워요.","Christian, ich lerne Taekwondo.","Christian, I learn taekwondo.",rights: original_clean_room; answer=태권도를; topic=Freizeit; unit=a1_11_titles_relationships; derived from vocab_a1_0673,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
cloze_a1_0608,a1,생일 파티에 초대해요.,Ich lade zur Geburtstagsparty ein.,I invite you to a birthday party.,rights: original_clean_room; answer=파티; topic=Freizeit; unit=a1_11_titles_relationships; derived from vocab_a1_0674,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
cloze_a1_0609,a1,텔레비전 프로그램을 봐요.,Ich schaue eine Fernsehsendung.,I watch a TV program.,rights: original_clean_room; answer=프로그램을; topic=Technologie; unit=a1_11_titles_relationships; derived from vocab_a1_0675,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
cloze_a1_0610,a1,저는 매일 피아노를 쳐요.,Ich spiele jeden Tag Klavier.,I play the piano every day.,rights: original_clean_room; answer=피아노를; topic=Bildung; unit=a1_11_titles_relationships; derived from vocab_a1_0676,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
