id,level,ko,de,en,field_notes,상태,jin_memo
vocab_a1_0523,A1,게임,Spiel,game,rights: original_clean_room; pack=a1_misc_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0524,A1,텔레비전,Fernseher,television,rights: original_clean_room; pack=a1_misc_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0525,A1,슈퍼마켓,Supermarkt,supermarket,rights: original_clean_room; pack=a1_city_services_2026_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0526,A1,백화점,Kaufhaus,department store,rights: original_clean_room; pack=a1_city_services_2026_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0527,A1,터미널,"Terminal, Busbahnhof",(bus) terminal,rights: original_clean_room; pack=a1_transport; order=12; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0528,A1,미국,"die USA, Amerika","the USA, America",rights: original_clean_room; pack=a1_particles_in_use_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0529,A1,일월,Januar,January,rights: original_clean_room; pack=a1_months_1; order=1; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0530,A1,이월,Februar,February,rights: original_clean_room; pack=a1_months_1; order=2; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0531,A1,삼월,März,March,rights: original_clean_room; pack=a1_months_1; order=3; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0532,A1,사월,April,April,rights: original_clean_room; pack=a1_months_1; order=4; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
