id,level,ko,de,en,field_notes,상태,jin_memo
b2_moving_rent_heating_budget,B2,월세 말고 총주거비를 봐요,Nicht nur die Kaltmiete zählt,Look beyond the base rent,rights: original_clean_room; theme=housing; unit=b2_03_precise_requests; turns=8; quests=5; review_gate=Jin,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
b2_job_hunting_ai_screening,B2,AI가 봐도 사람이 다시 보나요?,Prüft nach der KI noch ein Mensch?,Does a person review it after AI?,rights: original_clean_room; theme=work_ai; unit=b2_05_interview; turns=8; quests=5; review_gate=Jin,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
b2_daily_migration_neighborhood_meeting,B2,집 문제를 사람 탓으로 돌리지 않기,Wohnungsdruck ist keine Schuldfrage,Housing pressure is not a blame game,rights: original_clean_room; theme=migration_demography; unit=b2_02_professional_opinion; turns=8; quests=5; review_gate=Jin,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
b2_kpop_local_festival_program,B2,조회수보다 참여 방식부터,"Erst die Beteiligung, dann die Klicks",Participation before views,rights: original_clean_room; theme=k_culture; unit=b2_06_advanced_capstone; turns=8; quests=5; review_gate=Jin,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
c1_moving_rent_relief_roundtable,C1,평균 월세 뒤의 부담을 읽기,Die Belastung hinter der Durchschnittsmiete,Reading the burden behind average rent,rights: original_clean_room; theme=housing; unit=c1_02_inclusive_sustainable_systems; turns=8; quests=5; review_gate=Jin,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
c1_work_ai_hiring_pilot_review,C1,빠른 선별이 공정한 선별인가,Ist schnelle Auswahl auch faire Auswahl?,Is faster screening fairer screening?,rights: original_clean_room; theme=work_ai; unit=c1_01_evidence_public_reasoning; turns=8; quests=5; review_gate=Jin,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
c1_daily_migration_demography_policy_forum,C1,인력 부족과 정착 역량을 함께 보기,Fachkräftebedarf und Ankommen zusammen denken,Linking labor needs with settlement capacity,rights: original_clean_room; theme=migration_demography; unit=c1_02_inclusive_sustainable_systems; turns=8; quests=5; review_gate=Jin,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
c1_kpop_platform_localization_review,C1,확산 뒤에 누가 번역하는가,Wer übersetzt hinter der Reichweite?,Who translates behind the reach?,rights: original_clean_room; theme=k_culture; unit=c1_05_fan_labor_sustainability; turns=8; quests=5; review_gate=Jin,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
c2_moving_affordability_definition_hearing,C2,‘감당 가능한 집’의 기준을 묻다,Was heißt ‚bezahlbares Wohnen‘?,What counts as affordable housing?,rights: original_clean_room; theme=housing; unit=c2_01_interpretation_institutions; turns=8; quests=5; review_gate=Jin,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
c2_work_ai_accountability_board,C2,효율을 인정해도 책임은 남는다,Effizienz entbindet nicht von Verantwortung,Efficiency does not remove responsibility,rights: original_clean_room; theme=work_ai; unit=c2_02_technology_public_ethics; turns=8; quests=5; review_gate=Jin,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
c2_daily_integration_metric_editorial,C2,취업률 하나가 통합을 대신할 때,Wenn Beschäftigung für Integration stehen soll,When employment is made to stand for integration,rights: original_clean_room; theme=migration_demography; unit=c2_01_interpretation_institutions; turns=8; quests=5; review_gate=Jin,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
c2_kpop_authenticity_platform_panel,C2,‘진짜 K-컬처’를 누가 정하는가,Wer bestimmt die ‚echte K-Kultur‘?,Who defines 'real K-culture'?,rights: original_clean_room; theme=k_culture; unit=c2_06_fandom_discourse_power; turns=8; quests=5; review_gate=Jin,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
