id,level,ko,de,en,field_notes,상태,jin_memo
cloze_a2_0509,a2,할머니 칠순이라 주말에 잔치를 해요.,Am Wochenende gibt es eine Feier zum 70. Geburtstag meiner Oma.,We're having a party for my grandma's seventieth birthday this weekend.,rights: original_clean_room; answer=잔치를; topic=Freizeit; unit=(assigned at promotion); derived from vocab_a2_0702,pending,
cloze_a2_0510,a2,"대박, 두 사람이 다음 달에 결혼을 해요!","Wahnsinn, die beiden heiraten nächsten Monat!","Wow, the two of them are getting married next month!",rights: original_clean_room; answer=결혼을; topic=Freizeit; unit=(assigned at promotion); derived from vocab_a2_0703,pending,
cloze_a2_0511,a2,"레나 씨, 환영해요! 여기 같이 앉아요.","Lena, herzlich willkommen! Setzen Sie sich doch zu uns.","Lena, welcome! Come and sit with us.",rights: original_clean_room; answer=환영해요; topic=Freizeit; unit=(assigned at promotion); derived from vocab_a2_0704,pending,
cloze_a2_0512,a2,"마야 씨, 연말에는 같이 밥 한번 먹어요.","Maya, lassen Sie uns zum Jahresende mal zusammen essen gehen.","Maya, let's have a meal together toward the end of the year.",rights: original_clean_room; answer=연말에는; topic=Freizeit; unit=(assigned at promotion); derived from vocab_a2_0705,pending,
cloze_a2_0503,a2,"안드레아 씨, 사진을 메일로 보내도 돼요?","Andrea, darf ich das Foto per E-Mail schicken?","Andrea, can I send the photo by email?",rights: original_clean_room; answer=메일로; topic=Kommunikation; unit=(assigned at promotion); derived from vocab_a2_0696,pending,
cloze_a2_0504,a2,인터넷 연결을 바꿨어요. 이제 사진을 보낼게요.,Ich habe die Internetverbindung gewechselt. Jetzt schicke ich das Foto.,I changed the internet connection. I'll send the photo now.,rights: original_clean_room; answer=연결을; topic=Kommunikation; unit=(assigned at promotion); derived from vocab_a2_0697,pending,
cloze_a2_0505,a2,가게 전화기를 바꿨어요. 이제 소리가 잘 들려요.,Ich habe das Telefon im Laden ausgetauscht. Jetzt ist der Ton klar.,I replaced the phone at the shop. Now the sound is clear.,rights: original_clean_room; answer=전화기를; topic=Kommunikation; unit=(assigned at promotion); derived from vocab_a2_0698,pending,
cloze_a2_0506,a2,"크리스티안, 잘 들려? 여기는 좀 시끄러워.","Christian, hörst du mich gut? Hier ist es etwas laut.","Christian, can you hear me clearly? It's a bit noisy here.",rights: original_clean_room; answer=들려; topic=Kommunikation; unit=(assigned at promotion); derived from vocab_a2_0699,pending,
cloze_a2_0507,a2,친구 결혼 소식을 듣고 바로 전화했어요.,Ich habe von einer Hochzeit im Freundeskreis gehört und gleich angerufen.,I heard that a friend was getting married and called right away.,rights: original_clean_room; answer=소식을; topic=Kommunikation; unit=(assigned at promotion); derived from vocab_a2_0700,pending,
cloze_a2_0508,a2,길을 모르면 저 사람에게 물어보세요.,"Wenn Sie den Weg nicht kennen, fragen Sie die Person dort.","If you don't know the way, ask the person over there.",rights: original_clean_room; answer=물어보세요; topic=Kommunikation; unit=(assigned at promotion); derived from vocab_a2_0701,pending,
cloze_a2_0513,a2,"다니엘 씨, 도움이 필요해요. 이 문제를 모르겠어요.","Daniel, ich brauche Hilfe. Ich verstehe diese Aufgabe nicht.","Daniel, I need help. I don't understand this problem.",rights: original_clean_room; answer=도움이; topic=Alltag; unit=(assigned at promotion); derived from vocab_a2_0706,pending,
cloze_a2_0514,a2,"크리스티안, 컴퓨터가 또 고장이 났어? 내 거 써.","Christian, ist dein Computer schon wieder kaputt? Nimm meinen.","Christian, did your computer break down again? Use mine.",rights: original_clean_room; answer=고장이; topic=Alltag; unit=(assigned at promotion); derived from vocab_a2_0707,pending,
cloze_a2_0515,a2,지갑을 잃었어요. 혹시 여기에서 보셨어요?,Ich habe meine Brieftasche verloren. Haben Sie sie vielleicht hier gesehen?,I've lost my wallet. Have you seen it here by any chance?,rights: original_clean_room; answer=잃었어요; topic=Alltag; unit=(assigned at promotion); derived from vocab_a2_0708,pending,
cloze_a2_0516,a2,길이 막혔어요. 지하철로 갈까요?,Es gibt einen Stau. Nehmen wir die U-Bahn?,There's a traffic jam. Shall we take the subway?,rights: original_clean_room; answer=막혔어요; topic=Alltag; unit=(assigned at promotion); derived from vocab_a2_0709,pending,
cloze_a2_0517,a2,전기가 나가서 촛불을 켰어요.,"Der Strom ist ausgefallen, also habe ich eine Kerze angezündet.","The power went out, so I lit a candle.",rights: original_clean_room; answer=전기가; topic=Alltag; unit=(assigned at promotion); derived from vocab_a2_0710,pending,
cloze_a2_0518,a2,이 컵은 유리로 만들었어요. 안이 잘 보여요.,Dieser Becher ist aus Glas. Man kann gut hineinsehen.,This cup is made of glass. You can see inside clearly.,rights: original_clean_room; answer=유리로; topic=Alltag; unit=(assigned at promotion); derived from vocab_a2_0711,pending,
cloze_a2_0519,a2,센터에 전화해서 수리비를 물어봤어요.,Ich habe beim Servicecenter angerufen und nach den Reparaturkosten gefragt.,I called the service center to ask about the repair cost.,rights: original_clean_room; answer=센터에; topic=Alltag; unit=(assigned at promotion); derived from vocab_a2_0712,pending,
cloze_a2_0520,a2,이 식당은 서비스가 정말 좋아요.,Der Service in diesem Restaurant ist wirklich gut.,The service at this restaurant is really good.,rights: original_clean_room; answer=서비스가; topic=Alltag; unit=(assigned at promotion); derived from vocab_a2_0713,pending,
