id,level,ko,de,en,field_notes,상태,jin_memo
vocab_a1_0404,A1,제 국적은 독일이에요.,Meine Staatsangehörigkeit ist deutsch.,My nationality is German.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
vocab_a1_0405,A1,제 모국어는 독일어예요.,Meine Muttersprache ist Deutsch.,My first language is German.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
vocab_a1_0406,A1,성은 박이고 이름은 수진이에요.,Mein Nachname ist Park und mein Vorname ist Sujin.,My family name is Park and my given name is Sujin.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
vocab_a1_0407,A1,제 고향은 부산이에요.,Meine Heimatstadt ist Busan.,My hometown is Busan.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
vocab_a1_0408,A1,이 단어 발음을 다시 들려주세요.,Bitte spielen Sie die Aussprache dieses Wortes noch einmal ab.,Please play the pronunciation of this word again.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
vocab_a1_0409,A1,짧은 예문을 하나 적어 주세요.,Bitte schreiben Sie einen kurzen Beispielsatz auf.,Please write down one short example sentence.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
vocab_a1_0410,A1,주소를 천천히 적어 주세요.,Bitte schreiben Sie die Adresse langsam auf.,Please write the address down slowly.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
vocab_a1_0411,A1,모르는 단어의 뜻을 물어요.,Ich frage nach der Bedeutung eines unbekannten Wortes.,I ask the meaning of an unfamiliar word.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
vocab_a1_0412,A1,카드로 결제할게요.,Ich bezahle mit Karte.,I'll pay by card.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
vocab_a1_0413,A1,배달비는 삼천 원이에요.,Die Liefergebühr beträgt 3.000 Won.,"The delivery fee is 3,000 won.",rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
vocab_a1_0414,A1,주문 전에 주소를 확인해요.,Vor der Bestellung prüfe ich die Adresse.,I check the address before ordering.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
vocab_a1_0415,A1,도착 시간은 여섯 시예요.,Die Ankunftszeit ist sechs Uhr.,The arrival time is six o'clock.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
vocab_a2_0461,A2,금요일 저녁으로 약속을 잡았어요.,Wir haben uns für Freitagabend verabredet.,We made plans for Friday evening.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
vocab_a2_0462,A2,비가 와서 일정을 바꿨어요.,Wegen des Regens haben wir den Termin geändert.,We changed the schedule because it rained.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
vocab_a2_0463,A2,토요일 오후에 시간이 돼요.,Am Samstagnachmittag habe ich Zeit.,I'm available on Saturday afternoon.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
vocab_a2_0464,A2,역 앞을 만날 곳으로 정했어요.,Wir haben den Bahnhofsvorplatz als Treffpunkt gewählt.,We chose the front of the station as our meeting place.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
vocab_b1_0464,B1,마감이 늦어지는 사정을 먼저 설명했어요.,"Ich habe zuerst erklärt, warum sich die Abgabe verzögert.",I first explained why the deadline would be missed.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
vocab_b1_0465,B1,회의에서 서로 다른 의견을 조율했어요.,In der Besprechung haben wir unterschiedliche Meinungen abgestimmt.,We aligned different opinions in the meeting.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
vocab_b1_0466,B1,예산 안에서 가능한 대안을 찾아볼게요.,Ich suche nach einer Alternative innerhalb des Budgets.,I'll look for an alternative within the budget.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
vocab_b1_0467,B1,일정이 바뀌면 미리 알려 주세요.,"Bitte geben Sie vorher Bescheid, wenn sich der Termin ändert.",Please let me know in advance if the schedule changes.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
