kind,id,level,estimate,delta,reason,blocked_by,bundle_id,suggested_action
cloze,cloze_a1_0001,a1,a2,1,over1 lex_p90=1.9,can_do_ref,,step_up_or_swap
cloze,cloze_a1_0013,a1,a2,1,over1 lex_p90=1.9,,a1_misc_1,step_up_or_swap
cloze,cloze_a1_0014,a1,b1,2,fallback_over2 fallback:basic2023 lex_p90=2.8,,a1_transport,review_fallback
cloze,cloze_a1_0018,a1,a2,1,over1 grammar=grammar_a2_tag_confirmation:2,,a1_family_1,step_up_or_swap
cloze,cloze_a1_0020,a1,a2,1,over1 lex_p90=1.9,,a1_family_1,step_up_or_swap
cloze,cloze_a1_0024,a1,a2,1,over1 grammar=grammar_a2_like:2,,a1_family_2,step_up_or_swap
cloze,cloze_a1_0026,a1,a2,1,over1 lex_p90=1.9,can_do_ref,,step_up_or_swap
cloze,cloze_a1_0028,a1,c1,4,over2 lex_p90=4.6,can_do_ref,,bundle_move
cloze,cloze_a1_0031,a1,a2,1,over1 lex_p90=1.9,can_do_ref,,step_up_or_swap
cloze,cloze_a1_0032,a1,a2,1,over1 lex_p90=2.0,can_do_ref,,step_up_or_swap
cloze,cloze_a1_0033,a1,b1,2,over2 lex_p90=2.9,can_do_ref,,bundle_move
cloze,cloze_a1_0034,a1,a2,1,over1 lex_p90=1.9,can_do_ref,,step_up_or_swap
cloze,cloze_a1_0036,a1,a2,1,over1 lex_p90=1.9,,a1_colors,step_up_or_swap
cloze,cloze_a1_0038,a1,a2,1,over1 lex_p90=1.9,,a1_food_1,step_up_or_swap
cloze,cloze_a1_0041,a1,a2,1,over1 grammar=grammar_a2_conditional:2,can_do_ref,,step_up_or_swap
cloze,cloze_a1_0044,a1,b1,2,over2 lex_p90=2.9,can_do_ref,,bundle_move
cloze,cloze_a1_0053,a1,a2,1,over1 grammar=grammar_a2_like:2,,a1_time_1,step_up_or_swap
cloze,cloze_a1_0057,a1,a2,1,over1 lex_p90=1.9,can_do_ref,,step_up_or_swap
cloze,cloze_a1_0078,a1,b1,2,over2 lex_p90=2.8,can_do_ref,,bundle_move
cloze,cloze_a1_0083,a1,a2,1,over1 grammar=grammar_a2_like:2,,a1_self_intro,step_up_or_swap
cloze,cloze_a1_0088,a1,b1,2,over2 lex_p90=3.1,,a1_position,bundle_move
cloze,cloze_a1_0099,a1,a2,1,over1 lex_p90=1.9,,a1_daily_4,step_up_or_swap
cloze,cloze_a1_0106,a1,a2,1,over1 grammar=grammar_a2_dative_person:2,,a1_partner_meet_names_1,step_up_or_swap
cloze,cloze_a1_0108,a1,a2,1,over1 lex_p90=1.7,,a1_partner_meet_names_1,step_up_or_swap
cloze,cloze_a1_0109,a1,a2,1,over1 grammar=grammar_a2_simultaneous:2,,a1_partner_meet_names_1,step_up_or_swap
cloze,cloze_a1_0111,a1,a2,1,over1 grammar=grammar_a2_tag_confirmation:2,,a1_partner_meet_names_1,step_up_or_swap
cloze,cloze_a1_0115,b1,b2,1,over1 lex_p90=3.7,,b1_partner_first_gift_1,step_up_or_swap
cloze,cloze_a1_0122,b1,a1,-2,under2 grammar=grammar_a1_direction_means:1,,b1_partner_first_gift_1,downgrade_candidate
cloze,cloze_a1_0127,a2,b2,2,over2 grammar=grammar_b2_indirect_speech:4,,a2_partner_house_entry_1,bundle_move
cloze,cloze_a1_0136,a1,a2,1,over1 grammar=grammar_a2_tag_confirmation:2,,a1_partner_table_basic_1,step_up_or_swap
cloze,cloze_a1_0137,a1,b1,2,over2 lex_p90=2.8,,a1_partner_table_basic_1,bundle_move
cloze,cloze_a1_0138,a1,a2,1,over1 grammar=grammar_a2_tag_confirmation:2,,a1_partner_table_basic_1,step_up_or_swap
cloze,cloze_a1_0139,a1,a2,1,over1 length,,a1_partner_table_basic_1,step_up_or_swap
cloze,cloze_a1_0140,a1,a2,1,over1 grammar=nikl_g2_는데1:2,,a1_partner_table_basic_1,step_up_or_swap
cloze,cloze_a1_0141,a1,a2,1,over1 grammar=grammar_a2_each:2,,a1_partner_table_basic_1,step_up_or_swap
cloze,cloze_a1_0143,a1,b1,2,over2 lex_p90=2.6,,a1_partner_table_basic_1,bundle_move
cloze,cloze_a1_0144,a1,b1,2,over2 lex_p90=2.9,,a1_partner_table_basic_1,bundle_move
cloze,cloze_a1_0145,a1,a2,1,over1 lex_p90=2.0,,a1_partner_table_basic_1,step_up_or_swap
