id,level,ko,de,en,field_notes,상태,jin_memo
satz_a1_0064,A1,문 앞에서 인사드리겠습니다 하고 숨을 골랐어요.,Vor der Tür sagte ich ich werde mich höflich vorstellen und holte Luft.,At the door I said I will greet you respectfully and took a breath.,rights: original; pack: a1_partner_meet_names_1; canonical sentence derives cloze_a1_0100 and satz_a1_0064,approved,Jin explicit app-integration approval (2026-08-15).
satz_a1_0065,A1,문 앞에서 먼저 인사드렸어요.,Vor der Tür habe ich zuerst höflich gegrüßt.,I greeted them respectfully at the door first.,rights: original; pack: a1_partner_meet_names_1; canonical sentence derives cloze_a1_0101 and satz_a1_0065,approved,Jin explicit app-integration approval (2026-08-15).
satz_a1_0066,A1,오늘은 장인어른께 처음 인사드려요.,Heute begrüße ich zum ersten Mal meinen Schwiegervater.,Today I greet my father-in-law for the first time.,rights: original; pack: a1_partner_meet_names_1; canonical sentence derives cloze_a1_0102 and satz_a1_0066,approved,Jin explicit app-integration approval (2026-08-15).
satz_a1_0067,A1,"장모님, 이 과일 받아 주세요.","Frau Schwiegermutter, bitte nehmen Sie dieses Obst.","Please take this fruit, eomeonim.",rights: original; pack: a1_partner_meet_names_1; canonical sentence derives cloze_a1_0103 and satz_a1_0067,approved,Jin explicit app-integration approval (2026-08-15).
satz_a1_0068,A1,시아버지께서 현관에 나오셨어요.,Mein Schwiegervater ist in den Flur gekommen.,My father-in-law came out to the hallway.,rights: original; pack: a1_partner_meet_names_1; canonical sentence derives cloze_a1_0104 and satz_a1_0068,approved,Jin explicit app-integration approval (2026-08-15).
satz_a1_0069,A1,시어머니께서 미소를 지으셨어요.,Meine Schwiegermutter hat gelächelt.,My mother-in-law smiled.,rights: original; pack: a1_partner_meet_names_1; canonical sentence derives cloze_a1_0105 and satz_a1_0069,approved,Jin explicit app-integration approval (2026-08-15).
satz_a1_0070,A1,호칭이 어려워서 현우에게 물어봤어요.,"Die Anrede ist schwer, deshalb habe ich Hyunwoo gefragt.","The form of address is hard, so I asked Hyunwoo.",rights: original; pack: a1_partner_meet_names_1; canonical sentence derives cloze_a1_0106 and satz_a1_0070,approved,Jin explicit app-integration approval (2026-08-15).
satz_a1_0071,A1,부모님 앞에서는 높임말을 써요.,Vor den Eltern benutze ich die Höflichkeitsform.,I use raised speech in front of the parents.,rights: original; pack: a1_partner_meet_names_1; canonical sentence derives cloze_a1_0107 and satz_a1_0071,approved,Jin explicit app-integration approval (2026-08-15).
satz_a1_0072,A1,성함을 묻기 전에 현우가 눈짓을 했어요.,"Bevor ich nach dem Namen fragte, gab Hyunwoo ein Zeichen.","Before I asked the name politely, Hyunwoo gave a look.",rights: original; pack: a1_partner_meet_names_1; canonical sentence derives cloze_a1_0108 and satz_a1_0072,approved,Jin explicit app-integration approval (2026-08-15).
satz_a1_0073,A1,나이는 묻지 말고 몇 살이세요는 나중에 들어요.,Fragen Sie nicht nach dem Alter; 몇 살이세요 hören Sie später.,Do not ask age first; you will hear 몇 살이세요 later.,rights: original; pack: a1_partner_meet_names_1; canonical sentence derives cloze_a1_0109 and satz_a1_0073,approved,Jin explicit app-integration approval (2026-08-15).
satz_a1_0074,A1,앞으로 잘 부탁드립니다.,Bitte sehen Sie es mir nach und nehmen Sie mich auf.,Please look after me from now on.,rights: original; pack: a1_partner_meet_names_1; canonical sentence derives cloze_a1_0110 and satz_a1_0074,approved,Jin explicit app-integration approval (2026-08-15).
satz_a1_0075,A1,댁에 처음 와서 신발이 헷갈려요.,Ich bin zum ersten Mal bei Ihnen und verwechsele die Schuhe.,"It is my first time at your home, so the shoes confuse me.",rights: original; pack: a1_partner_meet_names_1; canonical sentence derives cloze_a1_0111 and satz_a1_0075,approved,Jin explicit app-integration approval (2026-08-15).
satz_a1_0076,A1,과일 바구니를 들고 초인종을 눌렀어요.,Mit einem Obstkorb habe ich geklingelt.,I rang the doorbell holding a fruit basket.,rights: original; pack: a1_partner_first_gift_1; canonical sentence derives cloze_a1_0112 and satz_a1_0076,approved,Jin explicit app-integration approval (2026-08-15).
satz_a1_0077,A1,건강식품은 너무 약처럼 보일까 봐 고민했어요.,"Ich überlegte, ob Gesundheitslebensmittel zu sehr nach Medizin aussehen.",I wondered whether health food would look too much like medicine.,rights: original; pack: a1_partner_first_gift_1; canonical sentence derives cloze_a1_0113 and satz_a1_0077,approved,Jin explicit app-integration approval (2026-08-15).
satz_a1_0078,A1,과한 선물은 부담이 된다고 현우가 말했어요.,"Hyunwoo sagte, ein zu großes Geschenk mache Druck.",Hyunwoo said an overly big gift creates pressure.,rights: original; pack: a1_partner_first_gift_1; canonical sentence derives cloze_a1_0114 and satz_a1_0078,approved,Jin explicit app-integration approval (2026-08-15).
satz_a1_0079,A1,큰돈 말고 작은 정성이면 충분해요.,"Kein großes Geld, eine kleine Aufmerksamkeit reicht.",Not a lot of money; a small token of care is enough.,rights: original; pack: a1_partner_first_gift_1; canonical sentence derives cloze_a1_0115 and satz_a1_0079,approved,Jin explicit app-integration approval (2026-08-15).
satz_a1_0080,A1,포장이 예쁘면 인사가 쉬워져요.,"Wenn die Verpackung schön ist, fällt der Gruß leichter.",Nice wrapping makes the greeting easier.,rights: original; pack: a1_partner_first_gift_1; canonical sentence derives cloze_a1_0116 and satz_a1_0080,approved,Jin explicit app-integration approval (2026-08-15).
satz_a1_0081,A1,별건 아니지만 받아 주세요.,"Es ist nichts Besonderes, aber bitte nehmen Sie es.","It is nothing special, but please accept it.",rights: original; pack: a1_partner_first_gift_1; canonical sentence derives cloze_a1_0117 and satz_a1_0081,approved,Jin explicit app-integration approval (2026-08-15).
satz_a1_0082,A1,처음에는 사양하다가 결국 받으셨어요.,Zuerst lehnten sie höflich ab und nahmen es dann doch.,They declined politely at first and then accepted.,rights: original; pack: a1_partner_first_gift_1; canonical sentence derives cloze_a1_0118 and satz_a1_0082,approved,Jin explicit app-integration approval (2026-08-15).
satz_a1_0083,A1,빈손으로 가면 현우가 더 긴장해요.,"Wenn ich mit leeren Händen komme, ist Hyunwoo noch nervöser.","If I arrive empty-handed, Hyunwoo gets even more nervous.",rights: original; pack: a1_partner_first_gift_1; canonical sentence derives cloze_a1_0119 and satz_a1_0083,approved,Jin explicit app-integration approval (2026-08-15).
