id,field,old,new,rule
vocab_a2_0089,example_korean,여기서 뭐가 제일 맛있어요?,여기서 뭐 추천해요?,translation: example never used headword 추천하다
vocab_a2_0089,example_german,Was schmeckt hier am besten?,Was empfehlen Sie hier?,translation: example never used headword 추천하다
vocab_a2_0089,example_english,What's best here?,What do you recommend here?,translation: example never used headword 추천하다
vocab_a2_0106,example_korean,여기서 곧장 가시면 돼요.,여기서 곧장 가세요.,grammar: grade3 -면 되다 replaced with plain imperative
vocab_a2_0115,example_korean,깜짝 놀랐잖아요!,깜짝 놀랐어요!,grammar: grade3 -잖아요 removed
vocab_a2_0115,example_german,Sie haben mich ja total erschreckt!,Ich bin total erschrocken!,grammar: grade3 -잖아요 removed
vocab_a2_0115,example_english,You totally startled me!,I was so startled!,grammar: grade3 -잖아요 removed
vocab_a2_0159,example_korean,유로로 계산해도 될까요?,한국의 통화는 원이에요.,translation: example/DE/EN all mismatched (payment vs currency-fact) and never used headword 통화
vocab_a2_0159,example_german,Die Währung in Deutschland ist der Euro.,Die Währung in Korea ist der Won.,translation: example/DE/EN all mismatched (payment vs currency-fact) and never used headword 통화
vocab_a2_0159,example_english,The currency used in Germany is the euro.,Korea's currency is the won.,translation: example/DE/EN all mismatched (payment vs currency-fact) and never used headword 통화
vocab_a2_0160,example_korean,매달 조금씩이라도 저축하려고 해요.,매달 조금씩 저축하려고 해요.,grammar: grade3 -이라도 removed
vocab_a2_0160,example_german,"Ich versuche, jeden Monat wenigstens etwas zu sparen.","Ich versuche, jeden Monat ein wenig zu sparen.",grammar: grade3 -이라도 removed
vocab_a2_0160,example_english,I try to save at least a little every month.,I try to save a little every month.,grammar: grade3 -이라도 removed
vocab_a1_0239,example_korean,윗목이 서늘해서 아래로 오라고 하셨어요.,윗목이 서늘해서 아래로 앉았어요.,grammar: grade3 quotative -라고 하셨어요 removed
vocab_a1_0239,example_german,"Der obere Teil des Zimmers war kühl, also sollte ich weiter nach unten rücken.","Der obere Teil des Zimmers war kühl, deshalb setzte ich mich weiter unten hin.",grammar: grade3 quotative -라고 하셨어요 removed
vocab_a1_0239,example_english,"The upper part of the room was cool, so they told me to move down.","The upper part of the room was cool, so I sat down further below.",grammar: grade3 quotative -라고 하셨어요 removed
vocab_a1_0242,example_korean,방석을 밀어 주셔서 감사하다고 했어요.,방석을 밀어 주셔서 감사했어요.,grammar: grade3 quotative -다고 했어요 removed
vocab_a1_0242,example_german,"Sie schoben mir ein Sitzkissen zu, und ich bedankte mich.","Sie schoben mir ein Sitzkissen zu, und ich war dankbar.",grammar: grade3 quotative -다고 했어요 removed
vocab_a1_0242,example_english,"They pushed a floor cushion over, and I said thank you.","They pushed a floor cushion over, and I was thankful.",grammar: grade3 quotative -다고 했어요 removed
vocab_a1_0243,example_korean,물 드세요 하셔서 컵을 두 손으로 받았어요.,물 드세요. 두 손으로 컵을 받았어요.,grammar: grade3 bare-quote 하셔서 removed
vocab_a1_0243,example_german,"Als sie mir Wasser anboten, nahm ich das Glas mit beiden Händen.",Trinken Sie etwas Wasser. Ich nahm das Glas mit beiden Händen.,grammar: grade3 bare-quote 하셔서 removed
vocab_a1_0243,example_english,"When they offered me water, I took the glass with both hands.",Please have some water. I took the glass with both hands.,grammar: grade3 bare-quote 하셔서 removed
vocab_a1_0276,example_korean,성묘 갈 때는 편한 신발을 신으라고 하셨어요.,성묘 갈 때는 편한 신발을 신었어요.,grammar: grade3 quotative -으라고 하셨어요 removed
vocab_a1_0276,example_german,Für den Grabbesuch sollte ich bequeme Schuhe anziehen.,Für den Grabbesuch zog ich bequeme Schuhe an.,grammar: grade3 quotative -으라고 하셨어요 removed
vocab_a1_0276,example_english,They told me to wear comfortable shoes for the grave visit.,I wore comfortable shoes for the grave visit.,grammar: grade3 quotative -으라고 하셨어요 removed
vocab_a1_0299,example_korean,나갈 때 잘 다녀오겠습니다라고 했어요.,나갈 때 인사했어요. 잘 다녀오겠습니다!,grammar: grade3 quotative -라고 했어요 removed
vocab_a1_0299,example_german,Ich mache mich dann auf den Weg. Danke für heute.,Beim Rausgehen habe ich mich verabschiedet. Ich mache mich dann auf den Weg!,grammar: grade3 quotative -라고 했어요 removed
vocab_a1_0299,example_english,I'll be heading out now. Thanks for having me.,I said goodbye as I left. I'll be heading out now!,grammar: grade3 quotative -라고 했어요 removed
vocab_a1_0301,example_korean,다음에 또 오세요 하셔서 신발을 거꾸로 신었어요.,다음에 또 오세요. 그 말을 듣고 신발을 거꾸로 신었어요.,grammar: grade3 bare-quote 하셔서 removed
vocab_a1_0301,example_german,"Als sie sagten, ich solle wiederkommen, zog ich die Schuhe verkehrt herum an.",Kommen Sie bald wieder. Ich hörte das und zog aus Eile die Schuhe verkehrt herum an.,grammar: grade3 bare-quote 하셔서 removed
vocab_a1_0301,example_english,"When they told me to come again, I put my shoes on backwards.",Please come again. I heard that and put my shoes on backwards in my hurry.,grammar: grade3 bare-quote 하셔서 removed
vocab_a2_0269,example_korean,어디서 오셨어요 하시길래 독일 베를린이라고 했어요.,어디서 오셨어요? 독일 베를린이에요.,"grammar: grade3 -길래/-라고 했어요 removed, direct Q&A"
vocab_a2_0269,example_german,"Sie fragten, woher ich komme, also sagte ich Berlin.",Woher kommen Sie? Aus Berlin in Deutschland.,"grammar: grade3 -길래/-라고 했어요 removed, direct Q&A"
vocab_a2_0269,example_english,"They asked where I am from, so I said Berlin in Germany.","Where are you from? Berlin, Germany.","grammar: grade3 -길래/-라고 했어요 removed, direct Q&A"
vocab_a2_0272,example_korean,언제 왔어요 하시길래 재작년이라고 했어요.,언제 왔어요? 재작년에 왔어요.,"grammar: grade3 -길래/-라고 했어요 removed, direct Q&A"
vocab_a2_0272,example_german,"Auf die Frage, wann ich gekommen sei, sagte ich: vorletztes Jahr.",Wann sind Sie gekommen? Vorletztes Jahr.,"grammar: grade3 -길래/-라고 했어요 removed, direct Q&A"
vocab_a2_0272,example_english,"When they asked when I came over, I said the year before last.",When did you come? The year before last.,"grammar: grade3 -길래/-라고 했어요 removed, direct Q&A"
vocab_a2_0274,example_korean,소개팅이 아니라 동아리에서 만났다고 했어요.,소개팅이 아니라 동아리에서 만났어요.,grammar: grade3 -다고 했어요 removed
vocab_a2_0274,example_english,"I said we met in a club, not on a set-up date.","We met in a club, not on a set-up date.",grammar: grade3 -다고 했어요 removed
vocab_a2_0279,example_korean,음식 취향을 묻길래 매운 건 조금 먹는다고 했어요.,제 음식 취향을 물어봤어요. 매운 건 조금만 먹어요.,grammar: grade3 -길래/-다고 했어요 removed
vocab_a2_0279,example_german,"Nach den Vorlieben gefragt sagte ich, Scharfes esse ich wenig.",Sie fragten nach meinen Essensvorlieben. Scharfes esse ich nur wenig.,grammar: grade3 -길래/-다고 했어요 removed
vocab_a2_0279,example_english,"They asked about my food preferences, so I said I can only handle a little spice.",They asked about my food preferences. I only eat a little spicy food.,grammar: grade3 -길래/-다고 했어요 removed
vocab_a2_0282,example_korean,떡국 먹다 보면 한 살이 는다는 농담을 들었어요.,떡국을 먹으면 나이를 한 살 더 먹어요.,"grammar: grade3 -다 보면/-는다는 removed, plain -으면"
vocab_a2_0282,example_german,"Beim Essen hörte ich den Witz, man werde ein Jahr älter.","Wenn man die Reiskuchensuppe isst, wird man ein Jahr älter.","grammar: grade3 -다 보면/-는다는 removed, plain -으면"
vocab_a2_0282,example_english,While eating the soup I heard the joke that you gain a year.,"If you eat the rice-cake soup, you turn one year older.","grammar: grade3 -다 보면/-는다는 removed, plain -으면"
vocab_a2_0288,example_korean,세배 영상은 가족 앨범에만 두래요.,세배 영상은 가족 앨범에만 둬요.,grammar: grade4 reported contraction -으래요 removed
vocab_a2_0288,example_german,Das Video sollte nur ins Familienalbum.,Das Video kommt nur ins Familienalbum.,grammar: grade4 reported contraction -으래요 removed
vocab_a2_0288,example_english,They said keep the bowing video in the family album only.,The bowing video only goes in the family album.,grammar: grade4 reported contraction -으래요 removed
vocab_a2_0292,example_korean,새해 목표를 묻길래 한국어 일기라고 했어요.,제 새해 목표는 한국어 일기예요.,grammar: grade3 -길래/-라고 했어요 removed
vocab_a2_0292,example_german,Nach dem Vorsatz gefragt sagte ich koreanisches Tagebuch.,Mein Neujahrsvorsatz ist ein koreanisches Tagebuch.,grammar: grade3 -길래/-라고 했어요 removed
vocab_a2_0292,example_english,"They asked for a new-year goal, so I said a Korean diary.",My new year's goal is a Korean diary.,grammar: grade3 -길래/-라고 했어요 removed
vocab_a2_0295,example_korean,보름달을 보며 소원을 말하래요.,보름달을 보면서 소원을 말해요.,grammar: grade4 reported contraction -래요 removed
vocab_a2_0295,example_german,Beim Vollmond sollte ich einen Wunsch sagen.,Beim Vollmond macht man einen Wunsch.,grammar: grade4 reported contraction -래요 removed
vocab_a2_0295,example_english,They told me to make a wish looking at the full moon.,You make a wish while looking at the full moon.,grammar: grade4 reported contraction -래요 removed
vocab_a2_0320,example_korean,아침 인사는 일어나자마자 큰 소리로 했어요.,아침 인사는 일어나서 바로 크게 했어요.,grammar: grade3 -자마자 replaced with -아서
vocab_a2_0320,example_german,Guten Morgen sagte ich laut gleich nach dem Aufstehen.,Den Morgengruß habe ich gleich nach dem Aufstehen laut gesagt.,grammar: grade3 -자마자 replaced with -아서
vocab_a2_0320,example_english,I said good morning loudly as soon as I got up.,I said my morning greeting loudly right after getting up.,grammar: grade3 -자마자 replaced with -아서
vocab_a2_0345,example_korean,김치를 짐 부치려다 안 된다고 해서 무릎 위에 올렸어요.,김치는 짐으로 부칠 수 없어서 무릎 위에 올렸어요.,grammar: grade4 -고 해서/-다고 removed
vocab_a2_0345,example_german,"Das Kimchi durfte ich nicht aufgeben, also kam es auf meine Knie.","Das Kimchi durfte ich nicht als Gepäck aufgeben, also kam es auf meine Knie.",grammar: grade4 -고 해서/-다고 removed
