"order","level","unitId","unitCanDoKo","chapterId","chapterSequence","stageId","assetPath","sha256","bytes","sourceCatalog","sourceRoot","mappingStatus"
"1","a1","a1_01_greetings_hangul","처음 만난 사람에게 인사하고 짧은 질문을 확인할 수 있어요.","site","1","site-01","assets/illustrations/personal_hanok_v3/construction/site/stage_01_neglected.png","4713d1580448cb3c1b8ba1b4445223183eb7d52bb50d752b3f8abe45bbefbc32","3189478","assets/data/ildu_settlement_construction_v1.json","C:\dev\hangulsori\ko_lernen_app_worktrees\toilet-store-wall-plan-20260914","unit_allocated_assessment_unreviewed"
"2","a1","a1_01_greetings_hangul","처음 만난 사람에게 인사하고 짧은 질문을 확인할 수 있어요.","site","2","site-02","assets/illustrations/personal_hanok_v3/construction/site/stage_02_debris_cleared.png","7f1e21c2d0698b1c5d3d019ee5bc28eb6ab6dc7be3548752b0a720474eb0e2f9","2984389","assets/data/ildu_settlement_construction_v1.json","C:\dev\hangulsori\ko_lernen_app_worktrees\toilet-store-wall-plan-20260914","unit_allocated_assessment_unreviewed"
"3","a1","a1_02_self_intro_identity","이름과 출신을 말하고 상대 이름을 확인할 수 있어요.","site","3","site-03","assets/illustrations/personal_hanok_v3/construction/site/stage_03_weeded.png","33406c8d27d5f3549e26d867a96e712628bd0a5ec9f20e2609fe9e095be2429f","2822129","assets/data/ildu_settlement_construction_v1.json","C:\dev\hangulsori\ko_lernen_app_worktrees\toilet-store-wall-plan-20260914","unit_allocated_assessment_unreviewed"
"4","a1","a1_02_self_intro_identity","이름과 출신을 말하고 상대 이름을 확인할 수 있어요.","site","4","site-04","assets/illustrations/personal_hanok_v3/construction/site/stage_04_levelled.png","bc030a7b1077e8bc0abb5bb87a3ca794ffe35d4d11024a506421ef7ffceb8222","3052555","assets/data/ildu_settlement_construction_v1.json","C:\dev\hangulsori\ko_lernen_app_worktrees\toilet-store-wall-plan-20260914","unit_allocated_assessment_unreviewed"
"5","a1","a1_02_self_intro_identity","이름과 출신을 말하고 상대 이름을 확인할 수 있어요.","site","5","site-05","assets/illustrations/personal_hanok_v3/construction/site/stage_05_compacted.png","a5829624ecaced0933640e6c7d233cd2f308c8d1d14759767d10d01f14815f9c","2440137","assets/data/ildu_settlement_construction_v1.json","C:\dev\hangulsori\ko_lernen_app_worktrees\toilet-store-wall-plan-20260914","unit_allocated_assessment_unreviewed"
"6","a1","a1_03_topic_subject_particles","찾는 물건의 이름을 말하고 어디 있는지 물을 수 있어요.","site","6","site-06","assets/illustrations/personal_hanok_v3/construction/site/stage_06_boundary_layout.png","b4183605314ff6e6915e50688f849f5d12f8003d80eaa50b059c20eca0212d98","2120476","assets/data/ildu_settlement_construction_v1.json","C:\dev\hangulsori\ko_lernen_app_worktrees\toilet-store-wall-plan-20260914","unit_allocated_assessment_unreviewed"
"7","a1","a1_03_topic_subject_particles","찾는 물건의 이름을 말하고 어디 있는지 물을 수 있어요.","wall","1","wall-01","assets/illustrations/personal_hanok_v3/construction/wall/stage_01_footing_trench.png","b17b2137aebb727e833312b56e5cd835f46117bc474eb9f7f02d22b4d23e2ded","2317526","assets/data/ildu_settlement_construction_v1.json","C:\dev\hangulsori\ko_lernen_app_worktrees\toilet-store-wall-plan-20260914","unit_allocated_assessment_unreviewed"
"8","a1","a1_04_order_request_object","원하는 음식과 수량을 말해 주문할 수 있어요.","wall","2","wall-02","assets/illustrations/personal_hanok_v3/construction/wall/stage_02_base_stones.png","7d8a2c966abbf80222d5c836575facbe68a1edb891dd4e0ab2c61061388c32c9","2200497","assets/data/ildu_settlement_construction_v1.json","C:\dev\hangulsori\ko_lernen_app_worktrees\toilet-store-wall-plan-20260914","unit_allocated_assessment_unreviewed"
"9","a1","a1_04_order_request_object","원하는 음식과 수량을 말해 주문할 수 있어요.","wall","3","wall-03","assets/illustrations/personal_hanok_v3/construction/wall/stage_03_corners.png","bd08613d9b0c810c2c67b4d4ca1e578db04d67b2ae1191f3d3021a799aab301c","2125197","assets/data/ildu_settlement_construction_v1.json","C:\dev\hangulsori\ko_lernen_app_worktrees\toilet-store-wall-plan-20260914","unit_allocated_assessment_unreviewed"
"10","a1","a1_04_order_request_object","원하는 음식과 수량을 말해 주문할 수 있어요.","wall","4","wall-04","assets/illustrations/personal_hanok_v3/construction/wall/stage_04_two_faces.png","559074233cab03f6bfc097a7c9da12c492b6ecd07093f0c2eeee28e0efeb97b6","2198196","assets/data/ildu_settlement_construction_v1.json","C:\dev\hangulsori\ko_lernen_app_worktrees\toilet-store-wall-plan-20260914","unit_allocated_assessment_unreviewed"
"11","a1","a1_05_numbers_time","약속 시간을 묻고 맞는 시간을 다시 확인할 수 있어요.","wall","5","wall-05","assets/illustrations/personal_hanok_v3/construction/wall/stage_05_core_fill.png","dd072ae7083c4ff4c01b06ba55f6093ba4e25352fed76a42ade970d5cf7327a3","2077814","assets/data/ildu_settlement_construction_v1.json","C:\dev\hangulsori\ko_lernen_app_worktrees\toilet-store-wall-plan-20260914","unit_allocated_assessment_unreviewed"
"12","a1","a1_05_numbers_time","약속 시간을 묻고 맞는 시간을 다시 확인할 수 있어요.","wall","6","wall-06","assets/illustrations/personal_hanok_v3/construction/wall/stage_06_full_height.png","9eaaf8c0cbac1bbfb5ef59dac0d9dbaeb5a527bbc48be8efc1ddf9d953d1aa20","2156633","assets/data/ildu_settlement_construction_v1.json","C:\dev\hangulsori\ko_lernen_app_worktrees\toilet-store-wall-plan-20260914","unit_allocated_assessment_unreviewed"
"13","a1","a1_05_numbers_time","약속 시간을 묻고 맞는 시간을 다시 확인할 수 있어요.","wall","7","wall-07","assets/illustrations/personal_hanok_v3/construction/wall/stage_07_cap_bed.png","81d3b9bb52b6db52ab07edc49c33e33116dff06f6dc647bdb0784f93351b1d6c","2003913","assets/data/ildu_settlement_construction_v1.json","C:\dev\hangulsori\ko_lernen_app_worktrees\toilet-store-wall-plan-20260914","unit_allocated_assessment_unreviewed"
"14","a1","a1_06_transport_directions","택시나 대중교통에서 내릴 곳을 짧게 말할 수 있어요.","wall","8","wall-08","assets/illustrations/personal_hanok_v3/construction/wall/stage_08_complete.png","93e575deef4951f48ce1221a5e4da45447f4a833ddf9b2915cbf8dc1db217fae","2091584","assets/data/ildu_settlement_construction_v1.json","C:\dev\hangulsori\ko_lernen_app_worktrees\toilet-store-wall-plan-20260914","unit_allocated_assessment_unreviewed"
"15","a1","a1_06_transport_directions","택시나 대중교통에서 내릴 곳을 짧게 말할 수 있어요.","sotdaeulmun","1","sotdaeulmun-01","assets/illustrations/personal_hanok_v3/construction/sotdaeulmun/01_site.png","7eae718ee27b8784805c1e05f75a4320cce17dbce6005b1be16e7150d12224be","1107083","assets/data/ildu_settlement_construction_v1.json","C:\dev\hangulsori\ko_lernen_app_worktrees\toilet-store-wall-plan-20260914","unit_allocated_assessment_unreviewed"
"16","a1","a1_07_contact_address","카카오톡 같은 연락 방법을 묻고 간단히 확인할 수 있어요.","sotdaeulmun","2","sotdaeulmun-02","assets/illustrations/personal_hanok_v3/construction/sotdaeulmun/02_foundation.png","8cbd0214b1df9c909231c562ea9b4beb08f9ee0350f3735c1bdd57124a18cd84","1079962","assets/data/ildu_settlement_construction_v1.json","C:\dev\hangulsori\ko_lernen_app_worktrees\toilet-store-wall-plan-20260914","unit_allocated_assessment_unreviewed"
"17","a1","a1_07_contact_address","카카오톡 같은 연락 방법을 묻고 간단히 확인할 수 있어요.","sotdaeulmun","3","sotdaeulmun-03","assets/illustrations/personal_hanok_v3/construction/sotdaeulmun/03_posts.png","3e5b851444c0acf313376872b33bf06be67fba7135360c5c21101c5bf8baa7ab","1219328","assets/data/ildu_settlement_construction_v1.json","C:\dev\hangulsori\ko_lernen_app_worktrees\toilet-store-wall-plan-20260914","unit_allocated_assessment_unreviewed"
"18","a1","a1_07_contact_address","카카오톡 같은 연락 방법을 묻고 간단히 확인할 수 있어요.","sotdaeulmun","4","sotdaeulmun-04","assets/illustrations/personal_hanok_v3/construction/sotdaeulmun/04_beams.png","49f134ca67c76431bf7e7f86e7161a9fb6855b6d769c1b1e528c21e62fcc3c4a","1585597","assets/data/ildu_settlement_construction_v1.json","C:\dev\hangulsori\ko_lernen_app_worktrees\toilet-store-wall-plan-20260914","unit_allocated_assessment_unreviewed"
"19","a1","a1_08_clarify_repair","못 들은 말이나 숫자를 다시 말해 달라고 할 수 있어요.","sotdaeulmun","5","sotdaeulmun-05","assets/illustrations/personal_hanok_v3/construction/sotdaeulmun/05_rafters.png","b801938a0aa10c16046e2e414ede89e6c090f2a44ee0de6e4068546635d5b3a4","1646410","assets/data/ildu_settlement_construction_v1.json","C:\dev\hangulsori\ko_lernen_app_worktrees\toilet-store-wall-plan-20260914","unit_allocated_assessment_unreviewed"
"20","a1","a1_08_clarify_repair","못 들은 말이나 숫자를 다시 말해 달라고 할 수 있어요.","sotdaeulmun","6","sotdaeulmun-06","assets/illustrations/personal_hanok_v3/construction/sotdaeulmun/06_roof_bed.png","954018872f24fd3353be227d243feb425613b5be6d940f6a48ba6a1ac5fb7238","1650566","assets/data/ildu_settlement_construction_v1.json","C:\dev\hangulsori\ko_lernen_app_worktrees\toilet-store-wall-plan-20260914","unit_allocated_assessment_unreviewed"
"21","a1","a1_08_clarify_repair","못 들은 말이나 숫자를 다시 말해 달라고 할 수 있어요.","sotdaeulmun","7","sotdaeulmun-07","assets/illustrations/personal_hanok_v3/construction/sotdaeulmun/07_roof_tiles.png","6a552f45dcfa1b3f508d187a37c0667ab50180c35d1dc4624ab8c01660cd284e","1612446","assets/data/ildu_settlement_construction_v1.json","C:\dev\hangulsori\ko_lernen_app_worktrees\toilet-store-wall-plan-20260914","unit_allocated_assessment_unreviewed"
"22","a1","a1_09_home_daily_life","집에서 필요한 물건이 어디 있는지 묻고 답할 수 있어요.","sotdaeulmun","8","sotdaeulmun-08","assets/illustrations/personal_hanok_v3/construction/sotdaeulmun/08_floors.png","f32764ca9c3fe43d4d69b251e02af1c7ec9717a63cb5b716466e79f9559bed97","1655108","assets/data/ildu_settlement_construction_v1.json","C:\dev\hangulsori\ko_lernen_app_worktrees\toilet-store-wall-plan-20260914","unit_allocated_assessment_unreviewed"
"23","a1","a1_09_home_daily_life","집에서 필요한 물건이 어디 있는지 묻고 답할 수 있어요.","sotdaeulmun","9","sotdaeulmun-09","assets/illustrations/personal_hanok_v3/construction/sotdaeulmun/09_walls.png","4f0c779fbe6b07ce5b7a56d2eb7c713e5ed997683dbd4e725cb71c172d6b44cc","1738616","assets/data/ildu_settlement_construction_v1.json","C:\dev\hangulsori\ko_lernen_app_worktrees\toilet-store-wall-plan-20260914","unit_allocated_assessment_unreviewed"
"24","a1","a1_10_health_safety","작은 실수에 바로 사과하고 상대가 괜찮은지 물을 수 있어요.","sotdaeulmun","10","sotdaeulmun-10","assets/illustrations/personal_hanok_v3/construction/sotdaeulmun/10_doors.png","02fa8fbe1a096a3c8bbd519fc5940db29a1d93404e6c450455bb59c0caa41570","1650916","assets/data/ildu_settlement_construction_v1.json","C:\dev\hangulsori\ko_lernen_app_worktrees\toilet-store-wall-plan-20260914","unit_allocated_assessment_unreviewed"
"25","a1","a1_10_health_safety","작은 실수에 바로 사과하고 상대가 괜찮은지 물을 수 있어요.","sotdaeulmun","11","sotdaeulmun-11","assets/illustrations/personal_hanok_v3/construction/sotdaeulmun/11_identity.png","e91bf5efdf2cd1be19f6e991611dcd207234e0141040c93bc8d1a96bbf604701","1639964","assets/data/ildu_settlement_construction_v1.json","C:\dev\hangulsori\ko_lernen_app_worktrees\toilet-store-wall-plan-20260914","unit_allocated_assessment_unreviewed"
"26","a1","a1_10_health_safety","작은 실수에 바로 사과하고 상대가 괜찮은지 물을 수 있어요.","sotdaeulmun","12","sotdaeulmun-12","assets/illustrations/personal_hanok_v3/construction/sotdaeulmun/12_complete.png","85e660cb6628042ee6249cc849f390356a2c586bd7c056e183d6101617181d44","1594929","assets/data/ildu_settlement_construction_v1.json","C:\dev\hangulsori\ko_lernen_app_worktrees\toilet-store-wall-plan-20260914","unit_allocated_assessment_unreviewed"
"27","a1","a1_11_titles_relationships","좋아하는 음악이나 콘텐츠를 짧게 묻고 답할 수 있어요.","sarangchae","1","sarangchae-site","assets/illustrations/personal_hanok_v3/sarangchae/stage_01_site.png","5ed4923fba1894427d3aa34699a62a3469c090f04bc89da2af3ebb654ff47727","1585510","assets/data/sarangchae_construction_v3.json","C:\dev\hangulsori\ko_lernen_app","unit_allocated_assessment_unreviewed"
"28","a1","a1_11_titles_relationships","좋아하는 음악이나 콘텐츠를 짧게 묻고 답할 수 있어요.","sarangchae","2","sarangchae-foundation","assets/illustrations/personal_hanok_v3/sarangchae/stage_02_foundation.png","3b328c697cf1bd570dfed11098246a566a6cc44be372e720b558d9759ffc834a","1656482","assets/data/sarangchae_construction_v3.json","C:\dev\hangulsori\ko_lernen_app","unit_allocated_assessment_unreviewed"
"29","a1","a1_12_daily_negation","원하는 메뉴가 있는지 묻고 없으면 다른 것을 고를 수 있어요.","sarangchae","3","sarangchae-choseok","assets/illustrations/personal_hanok_v3/sarangchae/stage_03_choseok.png","20d0a220fca2e59081524c9cdd4dee4235b50e198c15ffa7d4e9b5c7e161f337","1685987","assets/data/sarangchae_construction_v3.json","C:\dev\hangulsori\ko_lernen_app","unit_allocated_assessment_unreviewed"
"30","a1","a1_12_daily_negation","원하는 메뉴가 있는지 묻고 없으면 다른 것을 고를 수 있어요.","sarangchae","4","sarangchae-fitting","assets/illustrations/personal_hanok_v3/sarangchae/stage_04_fitting.png","dfae617098b905d18d83918af8679b5c9011e543daed43548f2b320b32a7b5f1","1715042","assets/data/sarangchae_construction_v3.json","C:\dev\hangulsori\ko_lernen_app","unit_allocated_assessment_unreviewed"
"31","a1","a1_12_daily_negation","원하는 메뉴가 있는지 묻고 없으면 다른 것을 고를 수 있어요.","sarangchae","5","sarangchae-columns","assets/illustrations/personal_hanok_v3/sarangchae/stage_05_columns.png","0f5e796fdc46c27a3d89007c2822c68513c925202b14a0d7257ff01132d589c7","1775293","assets/data/sarangchae_construction_v3.json","C:\dev\hangulsori\ko_lernen_app","unit_allocated_assessment_unreviewed"
"32","a1","a1_13_register_switching","같은 뜻이 친한 말과 공손한 말에서 어떻게 들리는지 구별할 수 있어요.","sarangchae","6","sarangchae-beams","assets/illustrations/personal_hanok_v3/sarangchae/stage_06_beams.png","4f51ff202300881ed9f7a50196ef0e075d329f28f940b6e7c3b4fec497661b8a","1899721","assets/data/sarangchae_construction_v3.json","C:\dev\hangulsori\ko_lernen_app","unit_allocated_assessment_unreviewed"
"33","a1","a1_13_register_switching","같은 뜻이 친한 말과 공손한 말에서 어떻게 들리는지 구별할 수 있어요.","sarangchae","7","sarangchae-purlins","assets/illustrations/personal_hanok_v3/sarangchae/stage_07_purlins.png","a25f87e0ab56884c0b6988bfbcb0a5e8b4e13c1ba0de4e91cd82f708a7c5ffa6","1957033","assets/data/sarangchae_construction_v3.json","C:\dev\hangulsori\ko_lernen_app","unit_allocated_assessment_unreviewed"
"34","a1","a1_13_register_switching","같은 뜻이 친한 말과 공손한 말에서 어떻게 들리는지 구별할 수 있어요.","sarangchae","8","sarangchae-rafters","assets/illustrations/personal_hanok_v3/sarangchae/stage_08_rafters.png","81e68c58d5d342bef0e5849dae38bfc6f5483d436140cc6615c492d3119dcd10","2116848","assets/data/sarangchae_construction_v3.json","C:\dev\hangulsori\ko_lernen_app","unit_allocated_assessment_unreviewed"
"35","a1","a1_14_payment_delivery","봉투처럼 필요한 것과 필요 없는 것을 짧게 말할 수 있어요.","sarangchae","9","sarangchae-decking","assets/illustrations/personal_hanok_v3/sarangchae/stage_09_decking.png","60ffa4184d6d947c83f479e681395f764dbd28ffa7384acdc72dc42bc929bb26","2026194","assets/data/sarangchae_construction_v3.json","C:\dev\hangulsori\ko_lernen_app","unit_allocated_assessment_unreviewed"
"36","a1","a1_14_payment_delivery","봉투처럼 필요한 것과 필요 없는 것을 짧게 말할 수 있어요.","sarangchae","10","sarangchae-earth-roof","assets/illustrations/personal_hanok_v3/sarangchae/stage_10_earth_roof.png","21db199864dc73d585872030c23be876caedccc2b9078a0a1e658721eee57c4e","2067248","assets/data/sarangchae_construction_v3.json","C:\dev\hangulsori\ko_lernen_app","unit_allocated_assessment_unreviewed"
"37","a1","a1_15_first_class_work","첫 수업에서 인사하고 기본 정보를 주고받을 수 있어요.","sarangchae","11","sarangchae-tiles","assets/illustrations/personal_hanok_v3/sarangchae/stage_11_tiles.png","4cf7a5138c09244559b41148b81924b53458872975c549d934b4910a56872474","2100803","assets/data/sarangchae_construction_v3.json","C:\dev\hangulsori\ko_lernen_app","unit_allocated_assessment_unreviewed"
"38","a1","a1_15_first_class_work","첫 수업에서 인사하고 기본 정보를 주고받을 수 있어요.","sarangchae","12","sarangchae-walls","assets/illustrations/personal_hanok_v3/sarangchae/stage_12_walls.png","79959bd0f0885612c95021e8e359dbbd162eef32f2d2fd8cb3f3c8043ade46b2","2096304","assets/data/sarangchae_construction_v3.json","C:\dev\hangulsori\ko_lernen_app","unit_allocated_assessment_unreviewed"
"39","a1","a1_15_first_class_work","첫 수업에서 인사하고 기본 정보를 주고받을 수 있어요.","sarangchae","13","sarangchae-ondol","assets/illustrations/personal_hanok_v3/sarangchae/stage_13_ondol.png","b3225234ca637a26978a1f1fc5545db7d5cbc1816be4448010fc90ee84e75899","2108299","assets/data/sarangchae_construction_v3.json","C:\dev\hangulsori\ko_lernen_app","unit_allocated_assessment_unreviewed"
"40","a1","a1_16_survival_capstone","익숙한 하루 계획에서 시간과 필요한 물건을 확인할 수 있어요.","sarangchae","14","sarangchae-maru","assets/illustrations/personal_hanok_v3/sarangchae/stage_14_maru.png","bb5d353c95c9db07c95fe8b43a3c0023886b7da98b7d01fc0b3c007747b402aa","2174873","assets/data/sarangchae_construction_v3.json","C:\dev\hangulsori\ko_lernen_app","unit_allocated_assessment_unreviewed"
"41","a1","a1_16_survival_capstone","익숙한 하루 계획에서 시간과 필요한 물건을 확인할 수 있어요.","sarangchae","15","sarangchae-changho","assets/illustrations/personal_hanok_v3/sarangchae/stage_15_changho.png","dc07735943c511bb25c27aba9b25ddc4555b0f319291966b35e3ccc5246e158a","2247497","assets/data/sarangchae_construction_v3.json","C:\dev\hangulsori\ko_lernen_app","unit_allocated_assessment_unreviewed"
"42","a1","a1_16_survival_capstone","익숙한 하루 계획에서 시간과 필요한 물건을 확인할 수 있어요.","sarangchae","16","sarangchae-complete","assets/illustrations/personal_hanok_v3/sarangchae/stage_16_complete.png","f917724120d4080d7c004b65dc51a9c336fcfbccdb9997e830de06ead1bcfc1a","2328995","assets/data/sarangchae_construction_v3.json","C:\dev\hangulsori\ko_lernen_app","unit_allocated_assessment_unreviewed"
"43","a2","a2_01_haeyo_transition","좋아하는 콘텐츠와 그 이유 하나를 자연스럽게 말할 수 있어요.","toilet","1","toilet-01","assets/illustrations/personal_hanok_v3/construction/toilet/stage_01_layout.png","bf7c018b551754e863ff64791f0f68724416e2aa2855490a0216ad80adce76d1","1332304","assets/data/ildu_settlement_construction_v1.json","C:\dev\hangulsori\ko_lernen_app_worktrees\toilet-store-wall-plan-20260914","unit_allocated_assessment_unreviewed"
"44","a2","a2_01_haeyo_transition","좋아하는 콘텐츠와 그 이유 하나를 자연스럽게 말할 수 있어요.","toilet","2","toilet-02","assets/illustrations/personal_hanok_v3/construction/toilet/stage_02_foundations.png","b74dbcbd76962658b5a0230e151012cf76fb87fd1b075634141d5be36ae8c951","1320342","assets/data/ildu_settlement_construction_v1.json","C:\dev\hangulsori\ko_lernen_app_worktrees\toilet-store-wall-plan-20260914","unit_allocated_assessment_unreviewed"
"45","a2","a2_01_haeyo_transition","좋아하는 콘텐츠와 그 이유 하나를 자연스럽게 말할 수 있어요.","toilet","3","toilet-03","assets/illustrations/personal_hanok_v3/construction/toilet/stage_03_posts.png","388a353656e468610ea3439153a19ff043332d320b826c544bf40f9193eb1851","1498535","assets/data/ildu_settlement_construction_v1.json","C:\dev\hangulsori\ko_lernen_app_worktrees\toilet-store-wall-plan-20260914","unit_allocated_assessment_unreviewed"
