korean,romanization,german,level,pos_de,example_korean,example_german,topic,pack_id,pack_order,is_review_boss,english,pos_en,example_english,id
인사드리겠습니다,insadeurigessseubnida,ich werde mich höflich vorstellen,A1,Ausdruck,문 앞에서 인사드리겠습니다 하고 숨을 골랐어요.,Vor der Tür sagte ich ich werde mich höflich vorstellen und holte Luft.,Partnerschaft & koreanische Familie,a1_partner_meet_names_1,1,false,I will greet you respectfully,Expression,At the door I said I will greet you respectfully and took a breath.,vocab_a1_0212
인사드리다,insadeurida,sich höflich vorstellen,A1,Verb,문 앞에서 먼저 인사드렸어요.,Vor der Tür habe ich zuerst höflich gegrüßt.,Partnerschaft & koreanische Familie,a1_partner_meet_names_1,2,false,to greet respectfully,Verb,I greeted them respectfully at the door first.,vocab_a1_0213
장인어른,jangineoreun,Schwiegervater der Frau,A1,Nomen,오늘은 장인어른께 처음 인사드려요.,Heute begrüße ich zum ersten Mal meinen Schwiegervater.,Partnerschaft & koreanische Familie,a1_partner_meet_names_1,3,false,wife's father; father-in-law,Noun,Today I greet my father-in-law for the first time.,vocab_a1_0214
장모님,jangmonim,Schwiegermutter der Frau,A1,Nomen,"장모님, 이 과일 받아 주세요.","Frau Schwiegermutter, bitte nehmen Sie dieses Obst.",Partnerschaft & koreanische Familie,a1_partner_meet_names_1,4,false,wife's mother; mother-in-law,Noun,"Please take this fruit, eomeonim.",vocab_a1_0215
시아버지,siabeoji,Schwiegervater des Mannes,A1,Nomen,시아버지께서 현관에 나오셨어요.,Mein Schwiegervater ist in den Flur gekommen.,Partnerschaft & koreanische Familie,a1_partner_meet_names_1,5,false,husband's father,Noun,My father-in-law came out to the hallway.,vocab_a1_0216
시어머니,sieomeoni,Schwiegermutter des Mannes,A1,Nomen,시어머니께서 미소를 지으셨어요.,Meine Schwiegermutter hat gelächelt.,Partnerschaft & koreanische Familie,a1_partner_meet_names_1,6,false,husband's mother,Noun,My mother-in-law smiled.,vocab_a1_0217
호칭,hoching,Anrede,A1,Nomen,호칭이 어려워서 현우에게 물어봤어요.,"Die Anrede ist schwer, deshalb habe ich Hyunwoo gefragt.",Partnerschaft & koreanische Familie,a1_partner_meet_names_1,7,false,form of address,Noun,"The form of address is hard, so I asked Hyunwoo.",vocab_a1_0218
높임말,nopimmal,Höflichkeitsform,A1,Nomen,부모님 앞에서는 높임말을 써요.,Vor den Eltern benutze ich die Höflichkeitsform.,Partnerschaft & koreanische Familie,a1_partner_meet_names_1,8,false,raised speech,Noun,I use raised speech in front of the parents.,vocab_a1_0219
성함을 묻다,seonghameul mudda,nach dem Namen fragen,A1,Ausdruck,성함을 묻기 전에 현우가 눈짓을 했어요.,"Bevor ich nach dem Namen fragte, gab Hyunwoo ein Zeichen.",Partnerschaft & koreanische Familie,a1_partner_meet_names_1,9,false,to ask someone's name politely,Expression,"Before I asked the name politely, Hyunwoo gave a look.",vocab_a1_0220
몇 살이세요,myeoch saliseyo,wie alt sind Sie,A1,Ausdruck,나이는 묻지 말고 몇 살이세요는 나중에 들어요.,Fragen Sie nicht nach dem Alter; 몇 살이세요 hören Sie später.,Partnerschaft & koreanische Familie,a1_partner_meet_names_1,10,true,how old are you (polite),Expression,Do not ask age first; you will hear 몇 살이세요 later.,vocab_a1_0221
잘 부탁드립니다,jal butagdeuribnida,ich bitte um Ihr Wohlwollen,A1,Ausdruck,앞으로 잘 부탁드립니다.,Bitte sehen Sie es mir nach und nehmen Sie mich auf.,Partnerschaft & koreanische Familie,a1_partner_meet_names_1,11,true,please look after me,Expression,Please look after me from now on.,vocab_a1_0222
댁에,daege,bei Ihnen zu Hause,A1,Ausdruck,댁에 처음 와서 신발이 헷갈려요.,Ich bin zum ersten Mal bei Ihnen und verwechsele die Schuhe.,Partnerschaft & koreanische Familie,a1_partner_meet_names_1,12,true,at your home (honorific),Expression,"It is my first time at your home, so the shoes confuse me.",vocab_a1_0223
과일 바구니,gwail baguni,Obstkorb,A1,Nomen,과일 바구니를 들고 초인종을 눌렀어요.,Mit einem Obstkorb habe ich geklingelt.,Partnerschaft & koreanische Familie,a1_partner_first_gift_1,1,false,fruit basket,Noun,I rang the doorbell holding a fruit basket.,vocab_a1_0224
건강식품,geongangsigpum,Gesundheitslebensmittel,A1,Nomen,건강식품은 너무 약처럼 보일까 봐 고민했어요.,"Ich überlegte, ob Gesundheitslebensmittel zu sehr nach Medizin aussehen.",Partnerschaft & koreanische Familie,a1_partner_first_gift_1,2,false,health food gift,Noun,I wondered whether health food would look too much like medicine.,vocab_a1_0225
과한 선물,gwahan seonmul,zu großes Geschenk,A1,Ausdruck,과한 선물은 부담이 된다고 현우가 말했어요.,"Hyunwoo sagte, ein zu großes Geschenk mache Druck.",Partnerschaft & koreanische Familie,a1_partner_first_gift_1,3,false,overly big gift,Expression,Hyunwoo said an overly big gift creates pressure.,vocab_a1_0226
작은 정성,jageun jeongseong,kleine Aufmerksamkeit,A1,Ausdruck,큰돈 말고 작은 정성이면 충분해요.,"Kein großes Geld, eine kleine Aufmerksamkeit reicht.",Partnerschaft & koreanische Familie,a1_partner_first_gift_1,4,false,a small token of care,Expression,Not a lot of money; a small token of care is enough.,vocab_a1_0227
포장,pojang,Verpackung,A1,Nomen,포장이 예쁘면 인사가 쉬워져요.,"Wenn die Verpackung schön ist, fällt der Gruß leichter.",Partnerschaft & koreanische Familie,a1_partner_first_gift_1,5,false,wrapping,Noun,Nice wrapping makes the greeting easier.,vocab_a1_0228
받아 주세요,bada juseyo,bitte nehmen Sie das,A1,Ausdruck,별건 아니지만 받아 주세요.,"Es ist nichts Besonderes, aber bitte nehmen Sie es.",Partnerschaft & koreanische Familie,a1_partner_first_gift_1,6,false,please accept this,Expression,"It is nothing special, but please accept it.",vocab_a1_0229
사양하다,sayanghada,höflich ablehnen,A1,Verb,처음에는 사양하다가 결국 받으셨어요.,Zuerst lehnten sie höflich ab und nahmen es dann doch.,Partnerschaft & koreanische Familie,a1_partner_first_gift_1,7,false,to decline politely,Verb,They declined politely at first and then accepted.,vocab_a1_0230
