priority,asset,type,source_strategy,status,purpose,implementation_notes
P0,site_base_v2_master.png,Infrastructure/Map,기존 site_base_light 재합성,필수,마당별 빈 면과 경계 소켓을 가진 새 1536×1152 대지,"기존 한지·석축 재질 유지. 식생/돌 60~70% 제거. 남쪽 진입, 사랑마당, 중문축, 안마당, 사당영역, 후원영역 고정."
P0,estate_masterplan_v2.json,Layout manifest,신규 코드/데이터,필수,건물 위치·bbox·z·hit zone·yard socket의 단일 정본,이미지보다 먼저 승인. 사랑채 위치 이동 같은 임시 collision fix를 이 manifest로 종결.
P0,a1_sparse_site_base.webp/png,A1 base,site_base_v2 파생,필수,A1 1~16 상태가 완성 종가 안에서 시작하지 않게 하는 sparse base,"외곽 담 일부, 앞길, 사랑채 터만 활성. 미래 영역은 막힘/저채도 처리."
P0,rear_garden_hardscape.png,Infrastructure,기존 rear_garden 분해/재합성,필수,후원 화계·석축·산책로의 뼈대,연못·정자·수목·장독을 제거한 투명 RGBA 레이어.
P0,rear_garden_hero_tree.png,Ambience/Landscape,기존 수목 또는 sonamu/maehwa 재배치,필수,후원을 프레이밍하는 영웅 수목 1개,"중앙 스티커 금지, 화면 가장자리/정자 뒤에서 일부 잘림 허용."
P0,jangdok_small_2.png / jangdok_small_3.png,Infrastructure/Life,기존 jangdokdae/overlay crop,필수,안채 뒤·작업마당용 소형 장독,신규 생성 불필요. Candidate A 좌표.
P1,jungmun_ilgakmun.png,Infrastructure,신규 생성 후 fixed-canvas 합성,최우선 신규,사랑영역과 안채영역을 분리하는 중문/일각문,완성본 먼저 승인 후 foundation→frame→roof→final 4단계 역분해.
P1,wall_module_front_left/right.png,Infrastructure,신규 또는 기존 담 crop,최우선 신규,솟을대문·행랑·중문·사당담을 연결하는 담장 모듈,"직선 2, 코너 2, 문 접속 2 정도. 독립 장식이 아니라 경계 생성."
P1,gokgan_service_wing.png,Architecture/Infrastructure,haengrangchae 기하 파생 우선,최우선 신규,곳간·광·창고를 포함한 생활경제 영역,새 독립 화려한 집보다 낮고 단순한 맞배 wing.
P1,well_workyard.png,Infrastructure/Interactive,신규 생성,최우선 신규,행랑·작업마당의 중심 언어행동 소켓,"물 긷기, 수량, 순서, 위치 퀘스트. 주변 소품은 별도."
P1,jeongja_simple.png,Architecture,신규 생성,높음,후원 휴식·시·계절 콘텐츠 venue,"Gye 정자 직접 재사용 금지. 무단청에 가까운 간결한 정자, 작은 실루엣."
P1,hwagye_stone_kit.png,Infrastructure,기존 rear_garden/돌담 재합성 + 일부 신규,높음,후원 깊이를 건물 없이 만드는 계단식 화계·석축,"2~4개 모듈, 과한 꽃/연못 없음."
P1,workyard_props.png,Ambience/Interactive,신규 소품 시트 1장,높음,"빨랫줄, 물동이, 광주리, 장작더미, 짚/도구",동시에 1~2 cluster만 표시. 각각 독립 cutout.
P1,sarangbang_empty_v2.png,Interior background,신규 재제작,높음,F-A 가구와 같은 재질의 사랑방,"1086×1448, 무광·한지·절제된 목재, 장식띠 제거, 빈 슬롯 유지."
P1,anbang_empty_v2.png,Interior background,신규 재제작,높음,안방 가구·경대·반닫이용 공간,"무단청, 따뜻한 온돌방, 벽장/창호, 과한 궁중 장식 금지."
P1,sarang_daecheong_empty_v2.png,Interior background,신규 재제작,높음,사랑대청/토론 venue,열린 마루·기둥·후원 조망. 평상시 비움.
P1,an_daecheong_empty_v2.png,Interior background,신규 재제작 또는 1차 보류,중간,안채 가족행사 venue,사랑대청과 기능이 실제로 분리될 때만 별도 제작. 초기에는 하나의 daecheong venue로 시작 가능.
P2,small_pond_optional.png,Landscape option,기존 decoration_pond 조정,조건부,후원 선택형 작은 연못,정자·연못 둘 다 hero가 되지 않도록 한쪽만 강조. 화면 10% 미만.
P2,season_spring_maehwa.png,Ambience,기존 maehwa 활용,조건부,봄 상태,한 번에 계절 오버레이 1개.
P2,season_autumn_leaves.png,Ambience,신규 생성/프로그램 합성,필수 C1,가을·돌봄 이벤트,"낙엽 몇 장과 배수로, 화면 전체 낙엽 금지."
P2,season_winter_snow.png,Ambience,신규 생성/마스크 합성,필수 C1,겨울 상태,지붕/담/나무 상부에만 얇은 눈.
P2,weather_rain_eaves.png,Ambience,신규 또는 셰이더,C1,비·장마 점검,처마 빗물/젖은 마당 중 하나만.
P2,maintenance_broken_tile.png,Maintenance overlay,신규 소형 cutout,C1,기와 보수 퀘스트,실패 벌점이 아니라 발견→수리 전후 상태.
P2,maintenance_torn_changho.png,Maintenance overlay,신규 소형 cutout,C1,창호지 보수 퀘스트,"건물 전체 재생성 금지, 창호 영역 overlay."
P2,maintenance_drain_leaves.png,Maintenance overlay,신규 소형 cutout,C1,배수 정리 퀘스트,작업마당/처마 배수 위치에만.
P2,byeoldang_finished.png,Architecture,기존 pending 후보,검수 후,후반 NPC·서사 공간,새로 생성하지 말고 masterplan 승인 후 후보 검수.
P2,seogo_finished.png,Architecture/Interior,기존 pending 후보,검수 후,C2 문집·문헌 공간,독립 건물 vs 사랑채 wing 결정 후 승격.
P2,pending_props_9,Interior furnishing,기존 pending 후보,선별 승격,백자병·경대·망건통·연상 등,공간별로 나누고 한 화면 luxury budget 적용.
