id,level,ko,de,en,field_notes,상태,jin_memo
cloze_b2_0362,B2,최근 관리비에 비추어 볼 때 이 집은 예산을 넘습니다.,Im Licht der letzten Nebenkosten überschreitet diese Wohnung das Budget.,"In light of the latest service charges, this flat exceeds the budget.",rights: original_clean_room; answer=비추어 볼 때; topic_route=Formelle Vereinbarungen; scenario=b2_moving_rent_heating_budget,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
cloze_b2_0363,B2,월세가 낮아도 난방비를 더하면 총주거비가 높아질 수 있어요.,Auch bei niedriger Kaltmiete können die gesamten Wohnkosten mit der Heizung hoch sein.,"Even with low base rent, heating can make the total housing cost high.",rights: original_clean_room; answer=총주거비; topic_route=Formelle Vereinbarungen; scenario=b2_moving_rent_heating_budget,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
cloze_b2_0364,B2,계약 전에 추가 비용을 서면으로 확인해 주세요.,Bitte lassen Sie sich die Zusatzkosten vor Vertragsabschluss schriftlich bestätigen.,Please confirm the additional costs in writing before signing.,rights: original_clean_room; answer=추가 비용; topic_route=Formelle Vereinbarungen; scenario=b2_moving_rent_heating_budget,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
cloze_b2_0365,B2,자동 점수가 낮다고 해서 역량이 부족한 것은 아닙니다.,Ein niedriger automatischer Wert bedeutet nicht zwangsläufig fehlende Kompetenz.,A low automated score does not necessarily mean a lack of ability.,rights: original_clean_room; answer=낮다고 해서; topic_route=Beruf; scenario=b2_job_hunting_ai_screening,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
cloze_b2_0366,B2,정형화된 항목 밖의 경험은 맥락과 역할을 함께 설명해야 합니다.,Erfahrung außerhalb standardisierter Felder sollte mit Kontext und eigener Rolle erklärt werden.,Experience outside standard fields should be explained with context and role.,rights: original_clean_room; answer=맥락과 역할; topic_route=Beruf; scenario=b2_job_hunting_ai_screening,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
cloze_b2_0367,B2,지원자는 사람의 재검토를 요청할 수 있어야 합니다.,Bewerbende sollten eine menschliche Nachprüfung verlangen können.,Applicants should be able to request human review.,rights: original_clean_room; answer=사람의 재검토; topic_route=Beruf; scenario=b2_job_hunting_ai_screening,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
cloze_b2_0368,B2,처지가 다르기에 필요한 지원도 같을 수 없습니다.,"Da die Lebenslagen verschieden sind, kann die nötige Unterstützung nicht identisch sein.","Because situations differ, the support needed cannot be identical.",rights: original_clean_room; answer=다르기에; topic_route=Gesellschaft; scenario=b2_daily_migration_neighborhood_meeting,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
cloze_b2_0369,B2,주택 부족과 정착 지원은 서로 연결되지만 같은 문제는 아닙니다.,"Wohnungsmangel und Unterstützung beim Ankommen hängen zusammen, sind aber nicht dasselbe Problem.",Housing shortages and settlement support are connected but are not the same issue.,rights: original_clean_room; answer=같은 문제; topic_route=Gesellschaft; scenario=b2_daily_migration_neighborhood_meeting,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
cloze_b2_0370,B2,자격 인정 절차를 알면 경력에 맞는 일자리를 찾기 쉬워집니다.,"Wer das Anerkennungsverfahren kennt, findet leichter eine Stelle passend zur Erfahrung.",Knowing the recognition process makes it easier to find work that matches one's experience.,rights: original_clean_room; answer=자격 인정 절차; topic_route=Gesellschaft; scenario=b2_daily_migration_neighborhood_meeting,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
cloze_b2_0371,B2,처음 온 사람도 참여할 수 있다는 점에서 프로그램의 문턱이 낮아집니다.,"Das Programm wird insofern zugänglicher, als auch Neulinge teilnehmen können.",The program becomes more accessible in that newcomers can participate too.,rights: original_clean_room; answer=있다는 점에서; topic_route=Lesen & Reaktionen; scenario=b2_kpop_local_festival_program,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
