id,level,ko,de,en,field_notes,상태,jin_memo
vocab_a2_0568,A2,어깨,Schulter,shoulder,rights: original_clean_room; pack=a2_body_1; order=1; boss=false; C3 Batch 32 A2 reinforcement,pending,
vocab_a2_0569,A2,가슴,Brust,chest,rights: original_clean_room; pack=a2_body_1; order=2; boss=false; C3 Batch 32 A2 reinforcement,pending,
vocab_a2_0570,A2,허리,Taille,waist,rights: original_clean_room; pack=a2_body_1; order=3; boss=false; C3 Batch 32 A2 reinforcement,pending,
vocab_a2_0571,A2,손가락,Finger,finger,rights: original_clean_room; pack=a2_body_1; order=4; boss=false; C3 Batch 32 A2 reinforcement,pending,
vocab_a2_0572,A2,손바닥,Handfläche,palm,rights: original_clean_room; pack=a2_body_1; order=5; boss=false; C3 Batch 32 A2 reinforcement,pending,
vocab_a2_0573,A2,발가락,Zeh,toe,rights: original_clean_room; pack=a2_body_1; order=6; boss=false; C3 Batch 32 A2 reinforcement,pending,
vocab_a2_0574,A2,발바닥,Fußsohle,sole (of foot),rights: original_clean_room; pack=a2_body_1; order=7; boss=false; C3 Batch 32 A2 reinforcement,pending,
vocab_a2_0575,A2,이마,Stirn,forehead,rights: original_clean_room; pack=a2_body_1; order=8; boss=false; C3 Batch 32 A2 reinforcement,pending,
vocab_a2_0576,A2,혀,Zunge,tongue,rights: original_clean_room; pack=a2_body_1; order=9; boss=false; C3 Batch 32 A2 reinforcement,pending,
vocab_a2_0577,A2,목소리,Stimme,voice,rights: original_clean_room; pack=a2_body_1; order=10; boss=false; C3 Batch 32 A2 reinforcement,pending,
vocab_a2_0578,A2,눕다,sich hinlegen,to lie down,rights: original_clean_room; pack=a2_body_1; order=11; boss=false; C3 Batch 32 A2 reinforcement,pending,
vocab_a2_0579,A2,흘리다,vergießen (Schweiß/Tränen),"to shed, to spill",rights: original_clean_room; pack=a2_body_1; order=12; boss=false; C3 Batch 32 A2 reinforcement,pending,
vocab_a2_0580,A2,국수,Nudeln,noodles,rights: original_clean_room; pack=a2_food_3; order=1; boss=false; C3 Batch 32 A2 reinforcement,pending,
vocab_a2_0581,A2,고추장,Chilipaste,gochujang (red chili paste),rights: original_clean_room; pack=a2_food_3; order=2; boss=false; C3 Batch 32 A2 reinforcement,pending,
vocab_a2_0582,A2,된장,Sojabohnenpaste,doenjang (soybean paste),rights: original_clean_room; pack=a2_food_3; order=3; boss=false; C3 Batch 32 A2 reinforcement,pending,
vocab_a2_0583,A2,두부,Tofu,tofu,rights: original_clean_room; pack=a2_food_3; order=4; boss=false; C3 Batch 32 A2 reinforcement,pending,
vocab_a2_0584,A2,삼겹살,Schweinebauch,pork belly,rights: original_clean_room; pack=a2_food_3; order=5; boss=false; C3 Batch 32 A2 reinforcement,pending,
vocab_a2_0585,A2,볶음밥,gebratener Reis,fried rice,rights: original_clean_room; pack=a2_food_3; order=6; boss=false; C3 Batch 32 A2 reinforcement,pending,
vocab_a2_0586,A2,설렁탕,Rinderknochensuppe,seolleongtang (ox bone soup),rights: original_clean_room; pack=a2_food_3; order=7; boss=false; C3 Batch 32 A2 reinforcement,pending,
vocab_a2_0587,A2,소고기,Rindfleisch,beef,rights: original_clean_room; pack=a2_food_3; order=8; boss=false; C3 Batch 32 A2 reinforcement,pending,
